orthogroup_id,rep_seq_id
OG0002949,1311A_09170
OG0003238,1311A_29520
OG0003307,1311A_11720
OG0003323,01_31690
OG0003339,01_28440
OG0003356,01_30180
OG0003357,01_33640
OG0003387,01_23490
OG0003395,01_29510
OG0003396,1311A_00590
OG0003458,1311A_02000
OG0003475,01_04280
OG0003483,1311A_13360
OG0003484,17_21090
OG0003485,18048_12210
OG0003494,18048_06590
OG0003497,01_32900
OG0003503,18048_24300
OG0003511,18048_03880
OG0003512,18048_05740
OG0003513,01_21240
OG0003514,01_13690
OG0003518,3058_35020
OG0003519,01_21280
OG0003522,1314C_01110
OG0003523,18048_05730
OG0003524,3058_14840
OG0003525,01_21220
OG0003526,01_21270
OG0003527,01_26440
OG0003528,1311A_06430
OG0003529,17_01230
OG0003543,18048_31470
OG0003549,1311A_36950
OG0003554,01_34390
OG0003583,18048_08350
OG0003587,1311A_20650
OG0003599,1311A_11270
OG0003648,18048_31480
OG0003655,01_02740
OG0003661,17_00150
OG0003685,85-10_39380
OG0003704,1311A_15450
OG0003752,1311A_05050
OG0003769,1311A_33440
OG0003894,17_08420
OG0003904,01_13180
OG0003909,01_34550
OG0003915,2768_03440
OG0003916,2768_03450
OG0003918,3307_22370
OG0003922,17_23070
OG0003932,17_10190
OG0003950,18048_05690
OG0003957,18048_21680
OG0003974,01_13390
OG0003975,01_14590
OG0003991,01_27990
OG0004002,84A_30050
OG0004009,18048_41320
OG0004023,18048_21430
OG0004033,01_17770
OG0004146,01_23790
OG0004161,71_06590
OG0004167,01_01930
OG0004172,01_16790
OG0004173,01_16930
OG0004193,01_08570
OG0004233,01_15290
OG0004265,01_31350
OG0004286,01_15540
OG0004378,85-10_20630
OG0004403,3046_00770
OG0004611,3058_41240
OG0004612,3307_02640
OG0004614,3307_19680
OG0004645,A7_14260
OG0004870,3307_13880
OG0004937,84A_30160
OG0005047,3307_28190
OG0005271,CFBP3836_35020
OG0005283,01_36570
OG0005307,85-10_33370
OG0005410,3307_13190
OG0005472,8590_34010
OG0005582,01_29760
OG0005619,AR81009_34760
OG0005629,AmX2_40730
OG0005630,BA29-1_30050
OG0005696,AmX2_12590
OG0005715,BRE_17_17670
OG0005769,2949_11970
OG0005770,2949_19470
OG0005966,2949_12000
OG0006025,AR81009_46980
OG0006134,3640_39790
OG0006138,84A_06840
OG0006201,BRIP62412_25120
OG0006212,BRIP62418_21880
OG0006328,3307_01050
OG0006383,BP5178_26850
OG0006413,CFBP4642_22660
OG0006459,17_39280
OG0006573,CFBP4690_33170
OG0006580,CFBP7111_28870
OG0006581,CFBP7111_28880
OG0006784,CFBP4691_38300
OG0006934,A7_29780
OG0007085,CPBF1494_00780
OG0007154,17_35080
OG0007169,3046_01060
OG0007335,CFBP6164_33710
OG0007380,CFBP8151_00540
OG0007390,CFBP8700_01700
OG0007609,BB151-3_19850
OG0007614,BP5178_03500
OG0007713,CFBP4643_42940
OG0007919,JAI131_08760
OG0007920,JAI131_08770
OG0007928,LMC_P47_02280
OG0008132,AmX2_39350
OG0008204,Bagalkot_01890
OG0008358,CFBP7111_10630
OG0008428,CFBP7764_15750
OG0008512,DE0062_01710
OG0008603,DE0062_38800
OG0008709,LH3_18550
OG0008914,SN8_00780
OG0009189,BRIP62432_27790
OG0009821,DE0062_04680
OG0009830,DE0062_04870
OG0010038,DE0062_28430
OG0010276,DE0062_47090
OG0010280,DE0062_47180
OG0010281,DE0062_47190
OG0010282,DE0062_47200
OG0010354,DE0062_51020
OG0010622,FDC1559_47270
OG0010637,FIJ080_13740
OG0010638,FIJ080_22360
OG0011099,NCPPB1128_05700
