orthogroup_id,rep_seq_id
OG0002632,1311A_40070
OG0002948,1311A_01320
OG0003552,1311A_21020
OG0003559,1314C_40090
OG0003601,17_11530
OG0003717,1311A_01200
OG0003844,01_34500
OG0003859,2949_32830
OG0003865,17_27630
OG0003883,85-10_44280
OG0003917,3058_30430
OG0003921,1311A_36670
OG0003940,3307_22340
OG0003955,1311A_15410
OG0003963,CCUG18839_29540
OG0003987,2955_32090
OG0004006,17_38220
OG0004014,01_13200
OG0004046,2949_30930
OG0004071,01_08910
OG0004098,01_27260
OG0004112,17_10600
OG0004123,01_04730
OG0004154,2768_03490
OG0004155,2768_14280
OG0004177,01_17490
OG0004183,17_32830
OG0004186,18048_13840
OG0004187,18048_36120
OG0004226,01_01220
OG0004272,17_10710
OG0004282,01_03040
OG0004298,3058_00460
OG0004335,01_23280
OG0004359,01_17970
OG0004360,01_19670
OG0004361,01_20840
OG0004362,01_22210
OG0004364,01_31000
OG0004405,3307_14160
OG0004422,01_38700
OG0004437,01_17320
OG0004442,01_35920
OG0004443,1311A_04940
OG0004444,17_05080
OG0004455,01_03960
OG0004522,3307_29170
OG0004542,2955_20350
OG0004592,2768_26920
OG0004705,A7_14280
OG0004727,3307_18320
OG0004740,74_01010
OG0004854,1314C_01120
OG0004857,2768_26990
OG0004869,3307_13850
OG0004901,A2111_17420
OG0004933,84A_30090
OG0005000,3058_41670
OG0005001,3140_01400
OG0005017,85-10_44250
OG0005018,85-10_44260
OG0005026,ATCC23378_30000
OG0005028,BB151-3_13110
OG0005035,18048_22530
OG0005036,18048_41940
OG0005073,01_01410
OG0005074,01_18670
OG0005105,3307_39070
OG0005106,3307_39090
OG0005110,84A_30210
OG0005125,01_18620
OG0005140,3058_28990
OG0005141,3075_11150
OG0005142,3075_40170
OG0005143,3140_02530
OG0005144,3307_00310
OG0005145,3307_12680
OG0005150,3307_22960
OG0005204,3307_35980
OG0005221,01_00970
OG0005231,01_27230
OG0005238,18048_27950
OG0005274,01_02840
OG0005293,2957_13080
OG0005325,1311A_21060
OG0005328,17_05470
OG0005372,AmX2_39460
OG0005376,BRIP62418_42650
OG0005379,01_00810
OG0005405,3046_00790
OG0005421,A7_16520
OG0005440,01_18570
OG0005442,01_37000
OG0005460,3307_14520
OG0005463,3498_31810
OG0005508,1314C_37160
OG0005526,3640_40330
OG0005530,85-10_24320
OG0005602,3058_25650
OG0005604,3075_37100
OG0005626,AmX2_24060
OG0005633,BRIP62412_25410
OG0005662,3140_25090
OG0005727,BRIP62416_05390
OG0005742,01_02780
OG0005743,01_02810
OG0005765,18048_38700
OG0005802,A7_29430
OG0005808,AmX2_08720
OG0005813,BB151-3_21970
OG0005894,A7_23310
OG0005897,AR81009_42380
OG0005898,ATCC23378_06400
OG0005902,AmX2_13030
OG0005959,17_22120
OG0005973,2974_39280
OG0006035,BA29-1_06950
OG0006153,A2111_15080
