"","orthogroup.id","Estimate","SE","z.value","p.value","rep_seq_id"
"1","OG0006476",1.500061653,1.944633687,0.771385204,0.440478643,"3307_00090"
"2","OG0005394",1.500470813,1.479166535,1.014402893,0.310390544,"17_38520"
"3","OG0001020",1.506438544,4.573540475,0.329381264,0.741867527,"01_01160"
"4","OG0001599",1.506438544,4.573540475,0.329381264,0.741867527,"01_08040"
"5","OG0006509",1.506724647,1.864878594,0.807947848,0.419120605,"AR81009_01980"
"6","OG0006656",1.508747321,1.514945913,0.995908374,0.319294666,"3307_29180"
"7","OG0004629",1.509843022,0.866363329,1.742736531,0.081379647,"01_22670"
"8","OG0005276",1.512144584,0.922323187,1.639495359,0.101110136,"01_05800"
"9","OG0006893",1.51282926,1.340622561,1.128452783,0.259128747,"3338_25120"
"10","OG0006649",1.51393621,1.481475772,1.02191088,0.306823083,"3058_03300"
"11","OG0004097",1.519696233,0.88063185,1.725688474,0.084403473,"01_23090"
"12","OG0003859",1.520271893,0.589767218,2.577749062,0.009944619,"2949_32830"
"13","OG0003500",1.522038472,0.617195946,2.466053903,0.013661077,"01_21670"
"14","OG0006860",1.522602292,1.370441052,1.111030854,0.266555069,"17_10740"
"15","OG0004839",1.523720152,0.872868103,1.745647649,0.080872197,"85-10_23740"
"16","OG0005877",1.523739602,1.652668438,0.921987476,0.356535108,"3498_09010"
"17","OG0003741",1.525984434,0.928470806,1.643545952,0.100270026,"1311A_00650"
"18","OG0007479",1.528321807,1.776897239,0.86010703,0.389730047,"NCPPB4349_11620"
"19","OG0008454",1.528779419,1.807237082,0.84592079,0.397596934,"CFBP8605_36540"
"20","OG0004862",1.53072609,0.907286849,1.687146785,0.091575131,"2957_09240"
"21","OG0004099",1.531789055,0.677988944,2.259312735,0.023863938,"01_34180"
"22","OG0006599",1.532876096,1.332008421,1.150800604,0.249814276,"CFBP8700_36390"
"23","OG0006420",1.532917349,2.099792747,0.730032691,0.465370203,"CFBP6992_35290"
"24","OG0006680",1.532917349,2.099792747,0.730032691,0.465370203,"8590_03970"
"25","OG0005634",1.533407556,1.42673708,1.074765335,0.282479804,"BRIP62416_05410"
"26","OG0004784",1.534051324,0.914469724,1.677531014,0.09343869,"3058_39870"
"27","OG0007582",1.534792605,1.624341617,0.944870579,0.344724953,"AmX2_01390"
"28","OG0003954",1.535133004,0.74500014,2.060580825,0.039343048,"01_36410"
"29","OG0003955",1.535133004,0.74500014,2.060580825,0.039343048,"1311A_15410"
"30","OG0003963",1.535133004,0.74500014,2.060580825,0.039343048,"CCUG18839_29540"
"31","OG0005000",1.535862463,0.843156527,1.821562679,0.068521368,"3058_41670"
"32","OG0005001",1.535862463,0.843156527,1.821562679,0.068521368,"3140_01400"
"33","OG0006625",1.538449375,1.328201084,1.158295527,0.246743456,"01_23760"
"34","OG0004825",1.539312918,0.926674105,1.661115715,0.096690209,"3307_13960"
"35","OG0004041",1.541188567,1.403818214,1.097854802,0.272267897,"01_22940"
"36","OG0004773",1.544106869,0.814607004,1.895523684,0.058023057,"BRIP62409_24130"
"37","OG0006097",1.546906111,1.628438735,0.949932028,0.342146791,"01_22720"
"38","OG0007073",1.548562077,1.457286782,1.062633722,0.287948088,"CFBP8700_32690"
"39","OG0007491",1.549590844,1.630637078,0.95029781,0.341960951,"01_32360"
"40","OG0007449",1.549951432,1.641403826,0.944284037,0.345024521,"GPEPC86_18710"
"41","OG0007454",1.551412277,1.738943259,0.892158079,0.372308208,"GW_27220"
"42","OG0005370",1.551968179,1.348441707,1.150934572,0.249759154,"AmX2_37120"
"43","OG0004206",1.556426068,1.30244918,1.194999462,0.23208724,"2949_30920"
"44","OG0006275",1.556672075,1.445743135,1.076727973,0.281601811,"DE0062_00120"
"45","OG0003754",1.558208739,0.92409771,1.686194784,0.091758288,"2949_24940"
"46","OG0007471",1.559342925,1.565762877,0.995899793,0.319298836,"LMG9002_15060"
"47","OG0003666",1.560741692,0.760139786,2.053229842,0.040050291,"1311A_14700"
"48","OG0007460",1.560885105,1.718348454,0.908363552,0.363686176,"JAI131_05210"
"49","OG0007689",1.560945963,1.63712848,0.953465768,0.340354133,"CFBP3122_11220"
"50","OG0005763",1.563061667,1.404160129,1.113164827,0.265637646,"18048_20530"
"51","OG0006037",1.563336243,1.640960778,0.95269568,0.340744283,"BA29-1_24910"
"52","OG0006269",1.563336245,1.640960778,0.95269568,0.340744283,"CFBP8591_13460"
"53","OG0000250",1.56354048,0.987625566,1.583130828,0.113391649,"1311A_17030"
"54","OG0004924",1.563671789,0.832146571,1.879082175,0.060233274,"3307_10540"
"55","OG0001774",1.564718388,1.389015396,1.126494633,0.259956211,"01_34220"
"56","OG0002171",1.564961577,1.389080203,1.126617148,0.259904386,"01_00160"
"57","OG0001047",1.566054544,1.382082283,1.13311238,0.257167063,"01_03070"
"58","OG0000534",1.566067428,1.389913555,1.126737287,0.259853573,"01_12290"
"59","OG0008819",1.567765496,1.996776317,0.785148282,0.432366634,"NCPPB1630_08010"
"60","OG0004823",1.569272609,0.900689387,1.742301654,0.081455674,"3058_25580"
"61","OG0001996",1.569337663,1.371608067,1.144158962,0.252557719,"01_38180"
"62","OG0007194",1.572004682,1.478519565,1.063228867,0.287678174,"3307_37120"
"63","OG0006121",1.573930146,1.648535433,0.954744505,0.339706917,"3307_01070"
"64","OG0006909",1.573930146,1.648535433,0.954744505,0.339706917,"756C_26650"
"65","OG0006910",1.573930146,1.648535433,0.954744505,0.339706917,"84A_06850"
