"","orthogroup.id","Estimate","SE","z.value","p.value","rep_seq_id"
"1","OG0003911",-4.008868024,1.418830339,-2.825473854,0.004721074,"2949_12190"
"2","OG0003971",-3.76180014,1.473736879,-2.552558868,0.010693484,"18048_36860"
"3","OG0004611",-3.621701237,1.470395765,-2.463079208,0.013774948,"3058_41240"
"4","OG0005107",-2.897347596,1.404605956,-2.062747622,0.039136613,"3307_39460"
"5","OG0002445",-2.881498946,1.925162851,-1.496755947,0.134456773,"01_33880"
"6","OG0003995",-2.872968135,0.87497381,-3.283490435,0.001025301,"18048_13450"
"7","OG0000688",-2.864061213,1.779637005,-1.609351348,0.107539537,"01_04230"
"8","OG0003989",-2.855411606,0.874487602,-3.265239667,0.001093715,"85-10_15950"
"9","OG0001668",-2.824657453,1.890293542,-1.494295669,0.135098357,"01_19690"
"10","OG0004732",-2.813733865,1.375696025,-2.045316562,0.040823659,"3307_33940"
"11","OG0004132",-2.783876507,1.41673572,-1.964993519,0.049414988,"17_12720"
"12","OG0002156",-2.7784151,1.868454059,-1.487012799,0.137011431,"01_33670"
"13","OG0004552",-2.7609053,1.413124396,-1.953759562,0.050729659,"01_17250"
"14","OG0003891",-2.686989495,0.876467511,-3.065703475,0.002171586,"01_33580"
"15","OG0005289",-2.681544519,1.423531192,-1.883727265,0.059601876,"18048_32090"
"16","OG0005628",-2.670739615,1.465753318,-1.822093515,0.068440798,"AmX2_32480"
"17","OG0005519",-2.636118009,1.384396343,-1.904164239,0.056888797,"3058_38990"
"18","OG0003895",-2.629962824,0.868633865,-3.027700082,0.002464225,"18048_17390"
"19","OG0004831",-2.624159883,1.421713635,-1.845772467,0.06492525,"3307_30800"
"20","OG0005696",-2.617779713,1.322455034,-1.979484857,0.047761443,"AmX2_12590"
"21","OG0005582",-2.588369048,1.420885068,-1.821659687,0.068506638,"01_29760"
"22","OG0003961",-2.572953295,0.879484795,-2.925523341,0.003438774,"1311A_19780"
"23","OG0004245",-2.561239845,0.87988208,-2.910889883,0.00360401,"01_33240"
"24","OG0004279",-2.548477106,1.3749259,-1.853537784,0.063805316,"85-10_20960"
"25","OG0004215",-2.533112585,0.880775672,-2.87600199,0.004027472,"01_23390"
"26","OG0003915",-2.532497856,0.857288862,-2.954077635,0.003136051,"2768_03440"
"27","OG0005769",-2.519791757,1.352777165,-1.862680582,0.062507219,"2949_11970"
"28","OG0005770",-2.519791757,1.352777165,-1.862680582,0.062507219,"2949_19470"
"29","OG0003894",-2.519538845,0.860284576,-2.928727208,0.00340353,"17_08420"
"30","OG0005353",-2.51945383,1.367389793,-1.84252789,0.065397971,"85-10_24160"
"31","OG0005024",-2.507103336,1.41227791,-1.775219536,0.075861645,"A2111_08320"
"32","OG0005500",-2.501683595,1.383936899,-1.807657269,0.070659859,"01_02200"
"33","OG0004487",-2.498271444,1.360506738,-1.836280097,0.066316242,"1314C_11750"
"34","OG0004612",-2.462302896,0.88037039,-2.796894266,0.005159642,"3307_02640"
"35","OG0002277",-2.416359953,1.058497701,-2.282820218,0.022440961,"01_36650"
"36","OG0003918",-2.402721018,0.697918322,-3.442696577,0.000575945,"3307_22370"
"37","OG0003922",-2.402721018,0.697918322,-3.442696577,0.000575945,"17_23070"
"38","OG0006751",-2.399530631,1.565812592,-1.532450718,0.12541125,"CFBP1817_26950"
"39","OG0003932",-2.384448597,0.696519307,-3.423377605,0.000618481,"17_10190"
"40","OG0004103",-2.377421132,0.883248413,-2.691678918,0.007109335,"18048_26810"
"41","OG0001542",-2.355935575,2.346977718,-1.003816762,0.315466943,"01_00180"
"42","OG0005956",-2.355883579,1.382946896,-1.703524254,0.088470003,"1311A_03800"
"43","OG0000390",-2.350661009,1.765724677,-1.331272672,0.183099307,"01_20200"
"44","OG0001129",-2.345036057,2.186095577,-1.072705184,0.283403414,"01_08140"
"45","OG0001526",-2.343387028,2.338720594,-1.001995293,0.316345866,"01_39210"
"46","OG0001756",-2.343387028,2.338720594,-1.001995293,0.316345866,"01_32180"
"47","OG0001985",-2.343387028,2.338720594,-1.001995293,0.316345866,"01_34460"
"48","OG0002180",-2.343387028,2.338720594,-1.001995293,0.316345866,"01_06060"
"49","OG0001083",-2.328789981,2.33024644,-0.999374976,0.317613077,"01_05610"
"50","OG0001598",-2.327300384,2.045041132,-1.138021308,0.255111585,"01_08010"
"51","OG0005313",-2.327026913,1.391437548,-1.672390483,0.094447347,"AmX2_32510"
"52","OG0005148",-2.317753653,1.327869773,-1.74546759,0.080903509,"3307_16600"
"53","OG0000708",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_08160"
"54","OG0000778",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_14750"
"55","OG0000833",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_23670"
"56","OG0000834",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_23850"
"57","OG0001051",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_03290"
"58","OG0001052",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_03310"
"59","OG0001088",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_05890"
"60","OG0001093",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_06100"
"61","OG0001107",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_06670"
"62","OG0001128",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_08120"
"63","OG0001169",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_10440"
"64","OG0001213",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_15180"
"65","OG0001288",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_20430"
"66","OG0001289",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_20440"
"67","OG0001294",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_20550"
"68","OG0001295",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_20590"
"69","OG0001296",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_20620"
"70","OG0001297",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_20630"
"71","OG0001298",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_20660"
"72","OG0001299",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_20720"
"73","OG0001300",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_20810"
"74","OG0001301",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_20820"
"75","OG0001302",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_20860"
"76","OG0001303",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_20930"
"77","OG0001304",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_21020"
"78","OG0001305",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_21030"
"79","OG0001306",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_21040"
"80","OG0001335",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_24200"
"81","OG0001588",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_07100"
"82","OG0001589",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_07160"
"83","OG0001590",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_07220"
"84","OG0001591",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_07320"
"85","OG0001596",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_07790"
"86","OG0001597",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_07850"
"87","OG0001603",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_08430"
"88","OG0001604",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_08790"
"89","OG0001605",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_09160"
"90","OG0001606",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_09310"
"91","OG0001617",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_10270"
"92","OG0001618",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_10340"
"93","OG0001619",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_10360"
"94","OG0001620",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_10370"
"95","OG0001621",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_10400"
"96","OG0001648",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_12970"
"97","OG0001649",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_14310"
"98","OG0001654",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_14370"
"99","OG0001655",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_14380"
"100","OG0001656",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_14640"
"101","OG0001657",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_15110"
"102","OG0001678",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_20370"
"103","OG0001679",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_20410"
"104","OG0001681",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_20510"
"105","OG0001686",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_20670"
"106","OG0001688",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_20730"
"107","OG0001689",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_20740"
"108","OG0001690",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_20760"
"109","OG0001691",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_20830"
"110","OG0001692",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_21560"
"111","OG0001693",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_21720"
"112","OG0001849",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_05250"
"113","OG0001866",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_08550"
"114","OG0001868",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_08850"
"115","OG0001869",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_08980"
"116","OG0001899",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_14690"
"117","OG0001900",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_14700"
"118","OG0001901",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_14710"
"119","OG0001929",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_22330"
"120","OG0002038",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_12220"
"121","OG0002039",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_12310"
"122","OG0002050",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_15140"
"123","OG0002122",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_12980"
"124","OG0002123",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_13080"
"125","OG0002134",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_21540"
"126","OG0002135",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_21750"
"127","OG0002204",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_28380"
"128","OG0002206",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_31670"
"129","OG0002244",-2.31269183,2.320912091,-0.996458176,0.319027578,"01_19260"
"130","OG0002151",-2.312669495,2.320899498,-0.99645396,0.319029626,"01_29820"
"131","OG0002248",-2.312669495,2.320899498,-0.99645396,0.319029626,"01_21730"
"132","OG0002695",-2.312669495,2.320899498,-0.99645396,0.319029626,"01_32690"
"133","OG0001340",-2.312657277,2.320891621,-0.996452077,0.319030541,"01_24310"
"134","OG0001383",-2.312657277,2.320891621,-0.996452077,0.319030541,"01_26580"
"135","OG0002083",-2.312657277,2.320891621,-0.996452077,0.319030541,"01_33380"
"136","OG0002245",-2.312655343,2.320890349,-0.99645179,0.31903068,"01_19390"
"137","OG0001561",-2.31265532,2.320890335,-0.996451786,0.319030682,"01_03680"
"138","OG0001572",-2.31265532,2.320890335,-0.996451786,0.319030682,"01_05170"
"139","OG0001916",-2.31265532,2.320890335,-0.996451786,0.319030682,"01_19680"
"140","OG0001922",-2.31265532,2.320890335,-0.996451786,0.319030682,"01_20690"
"141","OG0001937",-2.31265532,2.320890335,-0.996451786,0.319030682,"01_24300"
"142","OG0002018",-2.312654006,2.320889635,-0.99645152,0.319030811,"01_04120"
"143","OG0002373",-2.312654006,2.320889635,-0.99645152,0.319030811,"01_07890"
"144","OG0001732",-2.312292829,2.320699167,-0.99637767,0.319066678,"01_27480"
"145","OG0001933",-2.312292829,2.320699167,-0.99637767,0.319066678,"01_22550"
"146","OG0001882",-2.303090098,2.31572492,-0.994543902,0.319958143,"01_11500"
"147","OG0005354",-2.295741422,1.350765217,-1.69958583,0.089208858,"85-10_24940"
"148","OG0001687",-2.294639894,2.155997749,-1.064305329,0.287190405,"01_20680"
"149","OG0001972",-2.29381094,2.310352054,-0.992840436,0.320787721,"01_32870"
"150","OG0003816",-2.292969632,0.696434428,-3.292441527,0.000993215,"2768_03460"
"151","OG0000517",-2.292756606,2.154816238,-1.064014911,0.287321945,"01_09260"
"152","OG0001151",-2.292726546,2.154797913,-1.064010009,0.287324165,"01_08820"
