"","orthogroup.id","Estimate","SE","z.value","p.value","rep_seq_id"
"1","OG0002949",-10.71738239,2.586215903,-4.144040092,3.41e-05,"1311A_09170"
"2","OG0003339",-10.71738239,2.586215903,-4.144040092,3.41e-05,"01_28440"
"3","OG0003387",-10.71738239,2.586215903,-4.144040092,3.41e-05,"01_23490"
"4","OG0003512",-9.321127716,2.085925617,-4.468581066,7.87e-06,"18048_05740"
"5","OG0003522",-9.321127716,2.085925617,-4.468581066,7.87e-06,"1314C_01110"
"6","OG0003523",-9.321127716,2.085925617,-4.468581066,7.87e-06,"18048_05730"
"7","OG0003524",-9.321127716,2.085925617,-4.468581066,7.87e-06,"3058_14840"
"8","OG0003525",-9.321127716,2.085925617,-4.468581066,7.87e-06,"01_21220"
"9","OG0003526",-9.321127716,2.085925617,-4.468581066,7.87e-06,"01_21270"
"10","OG0003527",-9.321127716,2.085925617,-4.468581066,7.87e-06,"01_26440"
"11","OG0003528",-9.321127716,2.085925617,-4.468581066,7.87e-06,"1311A_06430"
"12","OG0003529",-9.321127716,2.085925617,-4.468581066,7.87e-06,"17_01230"
"13","OG0003950",-8.950415949,1.854620826,-4.826008541,1.39e-06,"18048_05690"
"14","OG0003511",-8.899541422,1.986175605,-4.480742488,7.44e-06,"18048_03880"
"15","OG0003513",-8.899541422,1.986175605,-4.480742488,7.44e-06,"01_21240"
"16","OG0003514",-8.899541422,1.986175605,-4.480742488,7.44e-06,"01_13690"
"17","OG0003494",-8.603221357,2.078336299,-4.139475098,3.48e-05,"18048_06590"
"18","OG0003587",-7.872592988,1.308183735,-6.017956637,1.77e-09,"1311A_20650"
"19","OG0003909",-7.872592988,1.308183735,-6.017956637,1.77e-09,"01_34550"
"20","OG0013788",-7.77102832,14.35226599,-0.541449575,0.588197745,NA
"21","OG0003485",-7.60566628,1.589346947,-4.785403397,1.71e-06,"18048_12210"
"22","OG0003475",-7.411914709,1.590862057,-4.659055558,3.18e-06,"01_04280"
"23","OG0003483",-7.391365843,1.583826091,-4.666778687,3.06e-06,"1311A_13360"
"24","OG0003484",-7.391365843,1.583826091,-4.666778687,3.06e-06,"17_21090"
"25","OG0003458",-7.387591525,1.14637146,-6.444326106,1.16e-10,"1311A_02000"
"26","OG0003583",-7.309736582,1.177070232,-6.21011082,5.29e-10,"18048_08350"
"27","OG0003599",-6.22244255,0.921357031,-6.753562778,1.44e-11,"1311A_11270"
"28","OG0005696",-5.740139636,1.317326133,-4.357417265,1.32e-05,"AmX2_12590"
"29","OG0003554",-5.594635468,0.759982298,-7.361533925,1.82e-13,"01_34390"
