"","orthogroup.id","Estimate","SE","z.value","p.value","rep_seq_id"
"1","OG0006121",1.501622903,0.739768288,2.029855737,0.042371205,"3307_01070"
"2","OG0006731",1.504645182,0.818975147,1.837229357,0.066176044,"BRIP62409_35220"
"3","OG0009635",1.506014089,1.159347636,1.299018553,0.193937562,"CHN01_26990"
"4","OG0005570",1.506866216,0.826276947,1.823681784,0.068200194,"CFBP1156_25210"
"5","OG0009931",1.509928373,0.911871908,1.655855785,0.097751028,"DE0062_17990"
"6","OG0012463",1.512928811,1.152240758,1.313031847,0.189172217,NA
"7","OG0009982",1.518835423,0.915012088,1.659907496,0.096933063,"DE0062_19890"
"8","OG0009981",1.519149299,0.919285025,1.652533498,0.098425842,"DE0062_19750"
"9","OG0008587",1.51992941,0.916601758,1.658222228,0.09727262,"DE0062_34090"
"10","OG0005372",1.523887048,0.709504718,2.147818063,0.031728212,"AmX2_39460"
"11","OG0004406",1.524702337,0.520916593,2.926960586,0.003422923,"3307_33540"
"12","OG0000281",1.525042313,0.792112065,1.925286054,0.054193581,"1311A_00420"
"13","OG0004182",1.52551285,0.387824351,3.933514866,8.37e-05,"17_32820"
"14","OG0005050",1.526491514,0.710260201,2.149200407,0.031618517,"3307_34150"
"15","OG0007918",1.526676593,0.704929471,2.165715374,0.030332943,"JAI131_08750"
"16","OG0006823",1.527732709,0.586440755,2.605093007,0.009184932,"DE0062_01900"
"17","OG0012042",1.527774006,1.159112297,1.318055214,0.187485166,NA
"18","OG0011937",1.52795722,1.178354129,1.296687628,0.194738688,NA
"19","OG0007120",1.5312389,0.928696409,1.648804588,0.099187675,"GBBC3236_19990"
"20","OG0009653",1.534035987,1.170751052,1.310300755,0.190094112,"CITA44_25730"
"21","OG0002516",1.534081951,1.9964365,0.76841009,0.442243587,"01_07710"
"22","OG0009652",1.534430434,1.170794037,1.310589553,0.189996471,"CITA44_14750"
"23","OG0012604",1.534522017,1.155935771,1.32751495,0.184338398,NA
"24","OG0012605",1.534770232,1.155967837,1.32769285,0.184279596,NA
"25","OG0011372",1.537736597,1.165243614,1.31966962,0.186945347,"SHU308_14910"
"26","OG0006816",1.53883178,0.607794399,2.531829483,0.011346916,"CFBP8700_09550"
"27","OG0006651",1.539809755,0.914559702,1.683662369,0.092246938,"3140_18650"
"28","OG0011559",1.540863542,1.149472594,1.340496111,0.180084108,"XNIII60_22950"
"29","OG0009403",1.541474446,0.960120943,1.605500284,0.108383751,"CFBP4691_16050"
"30","OG0007545",1.541980503,0.667905882,2.308679329,0.020961382,"85-10_44850"
"31","OG0007100",1.542275711,0.619629817,2.489027593,0.012809302,"FIJ080_03190"
"32","OG0005861",1.544785243,0.703761375,2.195041241,0.02816064,"2974_11000"
"33","OG0000322",1.54589064,1.105971217,1.397767516,0.162182892,"01_00770"
"34","OG0004957",1.546519552,0.795958504,1.942965047,0.052020382,"01_07590"
"35","OG0005256",1.546519552,0.795958504,1.942965047,0.052020382,"85-10_24150"
"36","OG0006407",1.546573411,0.795607743,1.94388934,0.051908797,"CFBP2533_04160"
"37","OG0005028",1.54740201,0.799003832,1.936664066,0.052786421,"BB151-3_13110"
"38","OG0008501",1.548538107,0.795308226,1.947091776,0.051523733,"DC06P2B_30570"
"39","OG0008502",1.548538107,0.795308226,1.947091776,0.051523733,"DC06P2B_33030"
"40","OG0000306",1.551983341,0.847851805,1.830488927,0.067176861,"01_23060"
"41","OG0009473",1.552483727,0.927106596,1.67454717,0.094023112,"CFBP6164_43330"
"42","OG0010985",1.552947352,1.207298498,1.286299416,0.198338586,"LMG9050_21680"
"43","OG0010987",1.55298899,1.207302112,1.286330053,0.198327898,"LMG9050_22470"
"44","OG0010986",1.552989495,1.207302155,1.286330425,0.198327768,"LMG9050_22420"
"45","OG0006063",1.556334724,0.608524123,2.557556332,0.010541048,"CFBP1156_42550"
"46","OG0006148",1.556334724,0.608524123,2.557556332,0.010541048,"8590_28370"
"47","OG0008510",1.559867135,0.794483424,1.963372788,0.049602873,"DE0062_01240"
"48","OG0004817",1.559995845,0.793881859,1.965022663,0.049411615,"18048_24880"
"49","OG0006530",1.56020913,0.714177442,2.184623931,0.028916432,"BRIP62411_03610"
"50","OG0006532",1.56020913,0.714177442,2.184623931,0.028916432,"BRIP62416_14690"
"51","OG0006489",1.560243047,0.79451778,1.96376102,0.049557813,"84A_33780"
"52","OG0008507",1.561181414,0.794350892,1.965354896,0.049373176,"DE0062_00790"
"53","OG0007438",1.561361718,0.909771475,1.716213094,0.086123048,"F8_18680"
"54","OG0008527",1.562178146,1.174436317,1.33015143,0.183468383,"DE0062_08180"
"55","OG0007140",1.564010007,0.65292182,2.395401654,0.016602167,"01_18420"
"56","OG0006930",1.56848119,1.191437332,1.316461343,0.188019245,"A7_01050"
"57","OG0007146",1.568498774,1.191439047,1.316474207,0.18801493,"1314C_06290"
"58","OG0011560",1.568933964,1.152352287,1.361505489,0.173354,"XNIII60_23680"
"59","OG0002352",1.570115583,1.83455872,0.855854635,0.392078191,"01_36270"
"60","OG0011515",1.570730417,1.166694009,1.346308805,0.178202947,"XNIF5_02210"
"61","OG0007137",1.571241532,0.79611293,1.973641518,0.048422519,"PXO99A_25890"
"62","OG0005775",1.574449315,1.164225795,1.352357353,0.176261025,"3046_00590"
"63","OG0005360",1.579377798,0.558571802,2.827528694,0.004690881,"A2111_08950"
"64","OG0009705",1.579845996,1.164770335,1.356358372,0.174985171,"DE0062_00660"
"65","OG0011557",1.579852965,1.164771294,1.356363239,0.174983623,"XNIII60_20580"
"66","OG0008508",1.583953809,0.802110274,1.974733227,0.04829843,"DE0062_00990"
"67","OG0010482",1.584053267,1.165467808,1.359156604,0.174096969,"FDC1559_18600"
"68","OG0008598",1.585309224,0.951435874,1.666228136,0.095667984,"DE0062_37900"
"69","OG0008280",1.586075127,1.1655145,1.36083689,0.173565241,"CFBP4644_25290"
"70","OG0009984",1.587040155,0.93234383,1.702204814,0.088716981,"DE0062_20660"
"71","OG0009707",1.589888052,1.166056212,1.363474622,0.172732977,"DE0062_00720"
"72","OG0008511",1.590561117,0.803263173,1.980124534,0.047689537,"DE0062_01250"
"73","OG0000290",1.5922833,0.803816405,1.980904208,0.047602017,"01_19650"
"74","OG0008062",1.602194643,0.93721901,1.709520001,0.08735467,"85-10_23400"
"75","OG0006024",1.60269778,0.515587391,3.108489094,0.001880466,"AR81009_34770"
"76","OG0009891",1.603296339,0.937111927,1.710890975,0.087101241,"DE0062_16410"
"77","OG0008634",1.603452218,0.934310273,1.716188149,0.086127612,"DMCX_19500"
"78","OG0009884",1.603618901,0.934303502,1.71637899,0.086092699,"DE0062_13880"
"79","OG0009708",1.603946325,1.166509621,1.374996224,0.169132615,"DE0062_00740"
"80","OG0008426",1.604031672,0.748633361,2.142613135,0.032144176,"CFBP7681_39950"
"81","OG0005025",1.604429882,0.935395452,1.715242338,0.086300806,"AR81009_37010"
"82","OG0005222",1.604429882,0.935395452,1.715242338,0.086300806,"01_05820"
"83","OG0006099",1.604429882,0.935395452,1.715242338,0.086300806,"01_36490"
"84","OG0008742",1.604585802,0.933570238,1.718762806,0.085657571,"LMG872_23200"
"85","OG0007025",1.605011872,0.618344937,2.59565782,0.009441003,"CFBP498_49000"
"86","OG0007026",1.605011872,0.618344937,2.59565782,0.009441003,"CFBP5825R_17610"
"87","OG0009886",1.612211771,0.923690169,1.745403193,0.08091471,"DE0062_15210"
"88","OG0012335",1.616409317,1.189059398,1.359401658,0.174019346,NA
"89","OG0011535",1.617841505,1.182030291,1.368697163,0.171093957,"XNIII60_08430"
"90","OG0009860",1.618382258,0.93409408,1.732568799,0.083172339,"DE0062_05680"
"91","OG0011539",1.619930443,1.177691943,1.375512886,0.168972493,"XNIII60_12880"
"92","OG0009474",1.620817467,0.933753346,1.735809007,0.082597611,"CFBP6164_43940"
"93","OG0007135",1.621546183,0.93253571,1.738856932,0.082059931,"NCPPB3888_20610"
"94","OG0007915",1.626514731,0.928094544,1.752531293,0.079682494,"JAI131_08670"
"95","OG0005317",1.630964306,1.183542979,1.378035555,0.168192311,"CFBP8700_00890"
"96","OG0011508",1.633861445,1.174959487,1.390568325,0.164356367,"X11-5A_09800"
"97","OG0009640",1.639818537,1.173770111,1.397052559,0.162397767,"CHN01_39120"
"98","OG0012114",1.641410432,1.181072453,1.389762691,0.164600951,NA
"99","OG0009685",1.644342858,1.182681593,1.390351272,0.164422235,"DE0062_00210"
"100","OG0006402",1.644431884,0.585466897,2.808752968,0.004973379,"CFBP1156_42210"
"101","OG0006380",1.645693561,0.565002064,2.912721328,0.003582942,"BP5178_04700"
"102","OG0011531",1.648179738,1.187026039,1.388495015,0.164986362,"XNIII60_06910"
"103","OG0009211",1.649463118,1.189356454,1.386853463,0.165486451,"Bagalkot_01800"
"104","OG0009827",1.651188257,0.956288028,1.726664151,0.084227997,"DE0062_04800"
"105","OG0008819",1.653256077,1.982413638,0.83396121,0.404302843,"NCPPB1630_08010"
"106","OG0010786",1.653256077,1.982413638,0.83396121,0.404302843,"LMG726_18820"
"107","OG0011366",1.653256077,1.982413638,0.83396121,0.404302843,"SHQP01_27480"
"108","OG0012488",1.653256077,1.982413638,0.83396121,0.404302843,NA
"109","OG0026511",1.653256077,1.982413638,0.83396121,0.404302843,NA
"110","OG0026512",1.653256077,1.982413638,0.83396121,0.404302843,NA
"111","OG0026513",1.653256077,1.982413638,0.83396121,0.404302843,NA
"112","OG0026514",1.653256077,1.982413638,0.83396121,0.404302843,NA
"113","OG0026515",1.653256077,1.982413638,0.83396121,0.404302843,NA
"114","OG0026516",1.653256077,1.982413638,0.83396121,0.404302843,NA
"115","OG0026517",1.653256077,1.982413638,0.83396121,0.404302843,NA
"116","OG0002726",1.656838661,1.148561348,1.442533883,0.14915182,"1311A_06840"
"117","OG0006888",1.660997655,0.746972527,2.22363955,0.026172705,"3058_40920"
"118","OG0001643",1.662028593,0.911695108,1.823009226,0.068301994,"01_12680"
"119","OG0012718",1.662265501,1.188465355,1.39866551,0.161913312,NA
"120","OG0000529",1.66601295,1.986344318,0.838733212,0.401619037,"01_11360"
"121","OG0012382",1.668078175,1.181158269,1.412239341,0.1578795,NA
"122","OG0007078",1.669825798,0.763156833,2.188050642,0.028665914,"CFBP8700_44600"
"123","OG0010512",1.67088588,1.183580548,1.411721308,0.158032037,"FDC1559_24660"
"124","OG0006826",1.684100588,0.856016781,1.967368661,0.049140725,"DE0062_17800"
"125","OG0011370",1.687350028,1.193771671,1.413461275,0.15752014,"SHU199_19600"
"126","OG0011525",1.689149238,1.193354704,1.41546284,0.156932836,"XNIII60_00980"
"127","OG0009894",1.693404853,1.195587824,1.416378471,0.156664724,"DE0062_16600"
"128","OG0009045",1.694865855,0.847302696,2.000307403,0.04546708,"A7_37480"
"129","OG0010508",1.698579775,1.213354726,1.399903703,0.161542157,"FDC1559_24380"
"130","OG0012136",1.704015465,1.197423715,1.423068078,0.154716421,NA
"131","OG0010582",1.704844641,1.206401413,1.413165321,0.15760712,"FDC1559_39720"
"132","OG0012565",1.706931971,1.24884797,1.366805258,0.171686354,NA
"133","OG0011644",1.708855886,1.207035834,1.415745778,0.15684995,"XNM01_20800"
"134","OG0006160",1.709616905,0.853547856,2.00295378,0.04518225,"A2111_31700"
"135","OG0009495",1.715188887,1.18815244,1.443576455,0.148858152,"CFBP6164_46690"
"136","OG0012085",1.726458728,1.197587744,1.441613558,0.149411422,NA
"137","OG0000728",1.727424719,0.886077368,1.94951906,0.051233469,"01_10190"
"138","OG0009313",1.729686038,1.207864316,1.43202015,0.152138055,"CFBP1156_12880"
"139","OG0011581",1.735571324,1.217537651,1.425476511,0.154019505,"XNM01_00700"
"140","OG0008880",1.735756942,1.258346542,1.379395011,0.167772997,"NL_P121_22230"
"141","OG0009463",1.73680311,1.218671105,1.425161475,0.15411053,"CFBP6164_33530"
"142","OG0011292",1.73680311,1.218671105,1.425161475,0.15411053,"PLY_4_08620"
"143","OG0009905",1.736813078,1.218667671,1.425173671,0.154107005,"DE0062_16970"
"144","OG0010745",1.736813078,1.218667671,1.425173671,0.154107005,"LMG476_40040"
"145","OG0010746",1.736813078,1.218667671,1.425173671,0.154107005,"LMG548_27930"
"146","OG0010747",1.736813078,1.218667671,1.425173671,0.154107005,"LMG548_32850"
"147","OG0010748",1.736813078,1.218667671,1.425173671,0.154107005,"LMG548_34740"
"148","OG0010749",1.736813078,1.218667671,1.425173671,0.154107005,"LMG548_41100"
"149","OG0006658",1.736883305,1.218981867,1.424863939,0.154196535,"3307_37300"
"150","OG0012786",1.736883305,1.218981867,1.424863939,0.154196535,NA
"151","OG0010097",1.736887976,1.218666313,1.425236719,0.154088786,"DE0062_30220"
"152","OG0009258",1.73688972,1.218641401,1.425267285,0.154079953,"Bagalkot_35130"
"153","OG0011941",1.73688972,1.218641401,1.425267285,0.154079953,NA
"154","OG0011956",1.73688972,1.218641401,1.425267285,0.154079953,NA
"155","OG0011523",1.738888385,1.249648852,1.391501607,0.164073373,"XNIF5_34120"
"156","OG0000532",1.7394257,1.218985025,1.426945914,0.153595485,"01_12230"
"157","OG0012243",1.742877021,1.263154844,1.379780975,0.167654092,NA
"158","OG0004933",1.745031017,1.212162634,1.439601393,0.149980205,"84A_30090"
"159","OG0010532",1.745615481,1.212549514,1.439624082,0.149973783,"FDC1559_30060"
"160","OG0012043",1.746341642,1.261429761,1.384414492,0.166231574,NA
"161","OG0008904",1.74651763,1.212475649,1.44045584,0.149738475,"SHU166_10180"
"162","OG0011883",1.746697415,1.215688429,1.43679694,0.1507757,NA
"163","OG0000359",1.746909635,1.212475925,1.440778822,0.149647178,"01_30790"
"164","OG0011865",1.748571994,1.212525241,1.442091212,0.149276644,NA
"165","OG0011588",1.749702675,1.211875225,1.443797711,0.148795886,"XNM01_00930"
"166","OG0011884",1.749785987,1.213074303,1.44243925,0.149178498,NA
"167","OG0010726",1.749862727,1.213063594,1.442515244,0.149157074,"LMG26789_36540"
"168","OG0005324",1.750409647,1.21305758,1.442973257,0.149028005,"01_34330"
"169","OG0005531",1.750409647,1.21305758,1.442973257,0.149028005,"8590_34020"
"170","OG0009128",1.750631017,1.213016298,1.44320486,0.148962771,"AmX2_24280"
"171","OG0011864",1.75091885,1.21304684,1.443405804,0.14890619,NA
"172","OG0010721",1.750976233,1.213036533,1.443465375,0.14888942,"LMG12749_39650"
"173","OG0010941",1.750986265,1.213108088,1.443388502,0.148911061,"LMG872_19390"
"174","OG0012115",1.750986265,1.213108088,1.443388502,0.148911061,NA
"175","OG0012116",1.750986265,1.213108088,1.443388502,0.148911061,NA
"176","OG0012117",1.750986265,1.213108088,1.443388502,0.148911061,NA
"177","OG0011643",1.751304364,1.213885224,1.442726486,0.149097535,"XNM01_20660"
"178","OG0012682",1.751848514,1.213925799,1.44312652,0.148984834,NA
"179","OG0012029",1.751885735,1.217282371,1.439177776,0.15010016,NA
"180","OG0012030",1.751885735,1.217282371,1.439177776,0.15010016,NA
"181","OG0012031",1.751885735,1.217282371,1.439177776,0.15010016,NA
"182","OG0012037",1.751885735,1.217282371,1.439177776,0.15010016,NA
"183","OG0011647",1.752155358,1.213906504,1.443402233,0.148907195,"XNM01_21670"
"184","OG0010509",1.752305224,1.213195306,1.444371911,0.148634387,"FDC1559_24620"
"185","OG0006908",1.752322911,1.213188554,1.444394529,0.148628029,"74_27470"
"186","OG0006909",1.752322911,1.213188554,1.444394529,0.148628029,"756C_26650"
