gene.id,score_enriched_binary,z.score_enriched_binary,p.value_enriched_binary,score_depletion_binary,z.score_depletion_binary,p.value_depletion_binary,score_enriched_rawcounts,z.score_enriched_rawcounts,p.value_enriched_rawcounts,score_depletion_rawcounts,z.score_depletion_rawcounts,p.value_depletion_rawcounts
Xanthomonas_OG0000000,0,-0.406782663,1,0.699104025,0.139540845,0.199938291,0.581817794,0.333392343,0.261928168,0.119894431,-0.154249092,0.758761993
Xanthomonas_OG0000001,0,-0.406782663,1,0.230310881,-0.104352022,0.588422294,0.12850309,-0.320201802,0.74386977,0.558146038,0.20109366,0.276601137
Xanthomonas_OG0000002,0.169947446,-0.190088728,0.676164793,0.320525202,-0.0574174,0.478051624,0.358425684,0.011303132,0.438101072,0.217671268,-0.07496977,0.605799251
Xanthomonas_OG0000003,0.340730355,0.027670477,0.456320148,0.165153157,-0.138250778,0.683670504,0.526388253,0.253473419,0.297585487,0.127559284,-0.148034283,0.745488101
Xanthomonas_OG0000004,0.550092326,0.294620469,0.281778384,0.085713903,-0.179579598,0.820892139,4.06E-11,-0.505478977,1,9.683679076,7.600249692,2.07E-10
Xanthomonas_OG0000005,0.022272493,-0.378383801,0.950008536,0.641817482,0.109737125,0.228130062,0.006972339,-0.495426182,0.984073781,1.720244261,1.143345037,0.019043893
Xanthomonas_OG0000006,0,-0.406782663,1,0,-0.224172847,1,0.014410646,-0.484701548,0.967362735,1.410065096,0.891845861,0.038898684
Xanthomonas_OG0000007,1.335560586,1.296143071,0.046178457,0.00908909,-0.219444185,0.979289076,5.65E-10,-0.505478977,0.999999999,8.530801872,6.665474892,2.95E-09
Xanthomonas_OG0000008,0.1831578,-0.173244676,0.6559069,0.114066071,-0.164829187,0.769013438,0.083991363,-0.384379303,0.824154506,0.701017344,0.316936437,0.199059384
Xanthomonas_OG0000009,0,-0.406782663,1,0,-0.224172847,1,0.02669089,-0.466995757,0.940392398,1.148345769,0.679638845,0.07106475
Xanthomonas_OG0000010,0,-0.406782663,1,0,-0.224172847,1,0.015685436,-0.482863542,0.964527388,1.361220776,0.852241956,0.043529054
Xanthomonas_OG0000011,0.053263036,-0.338868863,0.88457969,0.3889684,-0.021809354,0.408349097,0.256057541,-0.136292387,0.554552234,0.314748079,0.003741957,0.484453303
Xanthomonas_OG0000012,0,-0.406782663,1,0.114821602,-0.164436116,0.767676768,0.122980843,-0.328163839,0.753388795,0.554821186,0.198397807,0.278726854
Xanthomonas_OG0000013,0,-0.406782663,1,0.230310881,-0.104352022,0.588422294,0.131822861,-0.315415321,0.738205266,0.530440458,0.178629448,0.294821765
Xanthomonas_OG0000014,0,-0.406782663,1,0.230310881,-0.104352022,0.588422294,0.124305911,-0.326253342,0.751093648,0.550659284,0.195023257,0.281410771
Xanthomonas_OG0000015,0,-0.406782663,1,0.580864051,0.078025682,0.262504014,0.045499818,-0.439876838,0.900534141,0.927124695,0.500268584,0.118270193
Xanthomonas_OG0000016,0,-0.406782663,1,0,-0.224172847,1,0.745144846,0.568879091,0.179827106,0.071484988,-0.19350039,0.848232701
Xanthomonas_OG0000017,0,-0.406782663,1,1.796207211,0.710316345,0.01598795,5.085045681,6.826196043,8.22E-06,2.18E-06,-0.251460014,0.999994983
Xanthomonas_OG0000018,0,-0.406782663,1,0.699104025,0.139540845,0.199938291,0.000335506,-0.504995242,0.999227768,2.970658552,2.157204766,0.001069896
Xanthomonas_OG0000019,0,-0.406782663,1,0.230310881,-0.104352022,0.588422294,0.512476406,0.233415164,0.307272429,0.135751958,-0.141391507,0.731556783
Xanthomonas_OG0000020,0,-0.406782663,1,0.114821602,-0.164436116,0.767676768,1.155317474,1.160270516,0.069933059,0.025817304,-0.230528619,0.942285908
Xanthomonas_OG0000021,1.711159565,1.775055951,0.019446455,0.001568285,-0.223356936,0.996395403,0.050205609,-0.433091975,0.89082909,0.76860617,0.371738744,0.170370277
Xanthomonas_OG0000022,0,-0.406782663,1,0.463324036,0.016874679,0.3440931,0.089560715,-0.376349349,0.813653103,0.668833755,0.290841369,0.214371104
Xanthomonas_OG0000023,4.836410078,5.759951567,1.46E-05,1.28E-06,-0.224172179,0.999997044,7.79885214,10.73899217,1.59E-08,3.16E-09,-0.251461778,0.999999993
Xanthomonas_OG0000024,1.01805596,0.891304231,0.095927702,0.006999583,-0.220531266,0.98401205,1.337494672,1.422935611,0.045973263,0.004716997,-0.24763715,0.989197485
Xanthomonas_OG0000025,0.928998532,0.777750276,0.117760996,0.025968103,-0.210662763,0.941958777,2.46E-05,-0.505443536,0.999943401,3.923201263,2.929544541,0.000119343
Xanthomonas_OG0000026,0.096876514,-0.283258871,0.800061709,0.240080993,-0.099269055,0.575332632,0.236896074,-0.163919601,0.579567369,0.330804067,0.016760459,0.466869963
Xanthomonas_OG0000027,0,-0.406782663,1,0.230310881,-0.104352022,0.588422294,0.003561942,-0.50034333,0.991831867,1.969497321,1.345444167,0.010727603
Xanthomonas_OG0000028,0,-0.406782663,1,0.114821602,-0.164436116,0.767676768,3.78E-05,-0.505424515,0.999913027,3.875889782,2.891183492,0.000133079
Xanthomonas_OG0000029,0,-0.406782663,1,0.463324036,0.016874679,0.3440931,1.40E-07,-0.505478776,0.999999678,6.263452475,4.827064807,5.45E-07
Xanthomonas_OG0000030,0,-0.406782663,1,1.796207211,0.710316345,0.01598795,1.325113473,1.405084263,0.047302765,0.016030098,-0.238464272,0.96376223
Xanthomonas_OG0000031,0.370938029,0.066187206,0.425659147,0.13537882,-0.153741082,0.732185594,4.287969692,5.676963079,5.15E-05,1.34E-05,-0.251450904,0.999969111
Xanthomonas_OG0000032,1.330989562,1.290314721,0.04666706,0.009589225,-0.219183987,0.978161972,0.394330852,0.0630716,0.403338007,0.185439456,-0.101103937,0.652469994
Xanthomonas_OG0000033,0,-0.406782663,1,2.693532158,1.177155839,0.0020252,0.023922238,-0.470987631,0.946406605,1.182394096,0.707245877,0.065706132
Xanthomonas_OG0000034,0.096876514,-0.283258871,0.800061709,0.240080993,-0.099269055,0.575332632,0.245141048,-0.152031908,0.568668212,0.320660192,0.008535612,0.477903056
