orthogroup.id,Estimate,SE,z.value,p.value
Xanthomonas_OG0000000,0.133254459,0.037164781,3.585503679,0.000336428
Xanthomonas_OG0000001,-0.069465518,0.056032049,-1.239746162,0.215069297
Xanthomonas_OG0000002,-0.002668474,0.007299781,-0.365555354,0.714696895
Xanthomonas_OG0000003,0.020388643,0.011058087,1.843776704,0.065215689
Xanthomonas_OG0000004,0.005173203,0.009047503,0.571782411,0.567469395
Xanthomonas_OG0000005,-0.038414157,0.04920883,-0.78063544,0.435016941
Xanthomonas_OG0000006,-0.112659778,0.06111258,-1.84347934,0.065259056
Xanthomonas_OG0000007,0.086539108,0.027561016,3.139909984,0.001689998
Xanthomonas_OG0000008,-0.194291631,0.128732976,-1.509260771,0.131232155
Xanthomonas_OG0000009,0.105341373,0.170755554,0.616913304,0.537291911
Xanthomonas_OG0000010,0.176011077,0.104401224,1.685910102,0.091813116
Xanthomonas_OG0000011,0.298067111,0.229940133,1.296281374,0.194878563
Xanthomonas_OG0000012,0.324459309,0.188278889,1.723290969,0.08483592
Xanthomonas_OG0000013,0.334571386,0.317141538,1.054959208,0.291443982
Xanthomonas_OG0000014,0.325744296,0.240491434,1.354494383,0.175578704
Xanthomonas_OG0000015,0.269625726,0.176835502,1.524726215,0.1273274
Xanthomonas_OG0000016,0.445588182,0.176177841,2.529195382,0.011432437
Xanthomonas_OG0000017,-0.053630715,0.035975752,-1.490746186,0.136028145
Xanthomonas_OG0000018,-0.069153564,0.076328504,-0.905999207,0.364936272
Xanthomonas_OG0000019,0.35344335,0.130298605,2.712564357,0.006676482
Xanthomonas_OG0000020,-0.624967779,0.124242189,-5.030237977,4.90E-07
Xanthomonas_OG0000021,0.013437968,0.01372974,0.978748913,0.327704058
Xanthomonas_OG0000022,-0.229551451,0.151665107,-1.513541609,0.13014214
Xanthomonas_OG0000023,0.042748343,0.033533312,1.274802273,0.202379236
Xanthomonas_OG0000024,0,0.010507899,0,1
Xanthomonas_OG0000025,0.114967352,0.035653501,3.22457395,0.001261603
Xanthomonas_OG0000026,0.07594717,0.052057347,1.458913565,0.144588899
Xanthomonas_OG0000027,-0.234776436,0.160638672,-1.461518776,0.143873127
Xanthomonas_OG0000028,0.580694082,0.156466879,3.711290767,0.000206205
Xanthomonas_OG0000029,0.182852436,0.174783808,1.046163477,0.295485562
Xanthomonas_OG0000030,0.135716387,0.058276915,2.328819008,0.019868656
Xanthomonas_OG0000031,-0.062819497,0.041101403,-1.52840273,0.126412577
Xanthomonas_OG0000032,0.242299081,0.052430976,4.621296421,3.81E-06
Xanthomonas_OG0000033,-0.480675399,0.11775478,-4.082003276,4.46E-05
Xanthomonas_OG0000034,0.337548419,0.111217865,3.03501976,0.002405199
Xanthomonas_OG0000035,0.078042762,0.057490068,1.357499902,0.174622425
Xanthomonas_OG0000036,-0.561133107,0.317775373,-1.765816849,0.077426581
Xanthomonas_OG0000037,-0.849665115,0.378885192,-2.242539777,0.024926507
Xanthomonas_OG0000038,0.310174601,0.183769662,1.687844432,0.091441096
