orthogroup.id,Estimate,SE,z.value,p.value
Xanthomonas_OG0000000,-0.054686458,0.062879327,-0.869704888,0.3844617
Xanthomonas_OG0000001,-0.112470548,0.097369024,-1.155095773,0.248051209
Xanthomonas_OG0000002,-0.027170796,0.075884363,-0.358055264,0.720301957
Xanthomonas_OG0000003,0.005227778,0.077314131,0.067617365,0.946090232
Xanthomonas_OG0000004,-0.035796957,0.029523673,-1.212483186,0.225327475
Xanthomonas_OG0000005,0.050892211,0.091298078,0.557429161,0.577234247
Xanthomonas_OG0000006,-0.291187723,0.119114774,-2.444597868,0.014501373
Xanthomonas_OG0000007,-0.051303172,0.042663114,-1.20251822,0.229162811
Xanthomonas_OG0000008,-0.195544789,0.228438992,-0.856004432,0.391995328
Xanthomonas_OG0000009,-1.067950611,0.411161761,-2.597397698,0.00939331
Xanthomonas_OG0000010,-0.45997312,0.149164608,-3.083661237,0.002044703
Xanthomonas_OG0000011,-0.098366962,0.320190618,-0.307213756,0.758680676
Xanthomonas_OG0000012,-0.644967055,0.420826147,-1.532621152,0.125369227
Xanthomonas_OG0000013,-1.313870211,0.683901283,-1.921140145,0.054714042
Xanthomonas_OG0000014,-0.458690701,0.420677542,-1.090361749,0.275553824
Xanthomonas_OG0000015,-0.490026422,0.322056929,-1.521552179,0.128121328
Xanthomonas_OG0000016,0.090047881,0.366716473,0.245551775,0.806029224
Xanthomonas_OG0000017,0.070304996,0.065580712,1.072037704,0.283703098
Xanthomonas_OG0000018,-0.498175809,0.14848842,-3.354980867,0.000793705
Xanthomonas_OG0000019,0.108901327,0.297395116,0.366183979,0.714227796
Xanthomonas_OG0000020,-0.004444218,0.165910294,-0.026786874,0.978629722
Xanthomonas_OG0000021,-0.101347473,0.09489692,-1.067974313,0.285532099
Xanthomonas_OG0000022,0.027656542,0.244020149,0.113337126,0.909763285
Xanthomonas_OG0000023,0.113597025,0.08439968,1.345941411,0.178321412
Xanthomonas_OG0000024,0.102618232,0.370438961,0.277017925,0.781766342
Xanthomonas_OG0000025,-0.113481984,0.084278193,-1.34651658,0.178135977
Xanthomonas_OG0000026,-0.13868725,0.131268346,-1.056517077,0.290732043
Xanthomonas_OG0000027,-1.340540429,0.32285594,-4.152131838,3.29E-05
Xanthomonas_OG0000028,-1.837670471,0.386206294,-4.758261325,1.95E-06
