gene.id,score_enriched_binary,z.score_enriched_binary,p.value_enriched_binary,score_depletion_binary,z.score_depletion_binary,p.value_depletion_binary,score_enriched_rawcounts,z.score_enriched_rawcounts,p.value_enriched_rawcounts,score_depletion_rawcounts,z.score_depletion_rawcounts,p.value_depletion_rawcounts
Xanthomonas_OG0000000,0.050687392,-0.320623508,0.889841402,0.527671933,-0.042659822,0.296707188,0.292479803,-0.156457342,0.509941311,0.269592402,-0.131933858,0.537536053
Xanthomonas_OG0000001,0,-0.35760666,1,0.565470452,-0.030282637,0.271975353,0.308187222,-0.141934851,0.491827466,0.255741223,-0.139333054,0.554956288
Xanthomonas_OG0000002,1.42E-08,-0.35760665,0.999999967,6.537445992,1.925250133,2.90E-07,0.018549994,-0.409722577,0.958186407,1.264241596,0.39940032,0.054419983
Xanthomonas_OG0000003,1.32E-13,-0.35760666,1,11.06373119,3.40738933,8.64E-12,0.003835775,-0.423326792,0.991206691,1.908685895,0.743657656,0.01233997
Xanthomonas_OG0000004,1.42E-14,-0.35760666,1,12.61586882,3.915639235,2.42E-13,5.87E-06,-0.426867783,0.999986492,4.589712,2.175841797,2.57E-05
Xanthomonas_OG0000005,0.006547764,-0.352829201,0.985036302,1.224085348,0.185381845,0.059691797,0.220814738,-0.222716176,0.601430242,0.351168301,-0.088356621,0.445483578
Xanthomonas_OG0000006,0.6433971,0.111836571,0.227301813,0,-0.215446825,1,0.399020953,-0.057953388,0.399005652,0.189984951,-0.174459564,0.645676602
Xanthomonas_OG0000007,9.64E-17,-0.35760666,1,14.75805033,4.617099933,1.75E-15,1.01E-06,-0.426872269,0.999997665,5.326359057,2.569353159,4.72E-06
Xanthomonas_OG0000008,0.211258736,-0.203465488,0.614810483,0.155496089,-0.164529386,0.699043031,0.355030804,-0.098625031,0.441539128,0.218435314,-0.159261593,0.604734417
Xanthomonas_OG0000009,0,-0.35760666,1,0,-0.215446825,1,0.349907768,-0.103361598,0.446778465,0.222470215,-0.157106179,0.599142028
Xanthomonas_OG0000010,0.6433971,0.111836571,0.227301813,0,-0.215446825,1,0.399020953,-0.057953388,0.399005652,0.189984951,-0.174459564,0.645676602
Xanthomonas_OG0000011,0.030941343,-0.335030861,0.931233642,0.684574454,0.008718155,0.206740492,0.273325953,-0.174166274,0.53293476,0.288497164,-0.121835075,0.514639168
Xanthomonas_OG0000012,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0000013,0,-0.35760666,1,0.565470452,-0.030282637,0.271975353,0.308187222,-0.141934851,0.491827466,0.255741223,-0.139333054,0.554956288
Xanthomonas_OG0000014,0,-0.35760666,1,0.565470452,-0.030282637,0.271975353,0.308187222,-0.141934851,0.491827466,0.255741223,-0.139333054,0.554956288
Xanthomonas_OG0000015,0.0821488,-0.297668252,0.827658539,0.385348846,-0.08926374,0.411766635,0.312475931,-0.137969672,0.486994514,0.251632864,-0.141527709,0.560230999
Xanthomonas_OG0000016,0,-0.35760666,1,0,-0.215446825,1,0.349907768,-0.103361598,0.446778465,0.222470215,-0.157106179,0.599142028
Xanthomonas_OG0000017,0.000391713,-0.357320854,0.999098454,2.285149699,0.532829033,0.005186212,0.149051637,-0.289065649,0.709493405,0.477187937,-0.021037872,0.333282157
Xanthomonas_OG0000018,1.482397581,0.723998323,0.03293081,0.004454685,-0.213988131,0.989795136,0.597228923,0.125302272,0.252796512,0.105415309,-0.219636036,0.784485086
Xanthomonas_OG0000019,0,-0.35760666,1,0.565470452,-0.030282637,0.271975353,0.308187222,-0.141934851,0.491827466,0.255741223,-0.139333054,0.554956288
Xanthomonas_OG0000020,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0000021,0,-0.35760666,1,18.75169387,5.924824782,1.77E-19,9.83E-13,-0.426873206,1,11.04188489,5.622544414,9.08E-12
Xanthomonas_OG0000022,0.352217101,-0.100617728,0.444409055,0.101420204,-0.18223662,0.791734912,0.381420866,-0.074225769,0.415507756,0.200466567,-0.168860363,0.630279864
Xanthomonas_OG0000023,0.092744456,-0.28993732,0.807710156,0.554244511,-0.033958589,0.279097206,0.226202709,-0.21773466,0.594014835,0.339005665,-0.094853811,0.458135911
