gene.id,score_enriched_binary,z.score_enriched_binary,p.value_enriched_binary,score_depletion_binary,z.score_depletion_binary,p.value_depletion_binary,score_enriched_rawcounts,z.score_enriched_rawcounts,p.value_enriched_rawcounts,score_depletion_rawcounts,z.score_depletion_rawcounts,p.value_depletion_rawcounts
Xanthomonas_OG0000000,0.374826187,-0.055491933,0.421865308,0,-0.310914251,1,0.340320096,-0.013796098,0.456751418,0.214613043,-0.195388291,0.610080237
Xanthomonas_OG0000001,0,-0.257329281,1,0,-0.310914251,1,0.294699758,-0.054221582,0.507341328,0.251578641,-0.156234958,0.56030095
Xanthomonas_OG0000002,2.17E-05,-0.257317613,0.99995011,3.369369755,2.072889165,0.000427199,0.057039924,-0.264818745,0.876920203,0.783498621,0.407165637,0.164627119
Xanthomonas_OG0000003,6.79E-10,-0.257329281,0.999999998,7.288950295,4.845962516,5.14E-08,0.013625837,-0.303289207,0.969112428,1.331197113,0.987278565,0.046644763
Xanthomonas_OG0000004,1.49E-10,-0.257329281,1,8.473780534,5.684220878,3.36E-09,0.000120755,-0.315256445,0.99972199,3.19602232,2.962469705,0.000636763
Xanthomonas_OG0000005,0.129747597,-0.187462469,0.741741201,0.164461623,-0.194558907,0.68475999,0.293922272,-0.054910535,0.508250399,0.251703336,-0.156102884,0.560140099
Xanthomonas_OG0000006,0.249095665,-0.123195621,0.563513514,0,-0.310914251,1,0.324543433,-0.02777625,0.473648937,0.226525275,-0.182771058,0.593573803
Xanthomonas_OG0000007,3.66E-15,-0.257329281,1,12.82398089,8.761954468,1.50E-13,1.23E-06,-0.315362358,0.999997163,5.042671315,4.918408911,9.06E-06
Xanthomonas_OG0000008,0.129747597,-0.187462469,0.741741201,0.164461623,-0.194558907,0.68475999,0.293922272,-0.054910535,0.508250399,0.251703336,-0.156102884,0.560140099
Xanthomonas_OG0000009,0,-0.257329281,1,0,-0.310914251,1,0.294699758,-0.054221582,0.507341328,0.251578641,-0.156234958,0.56030095
Xanthomonas_OG0000010,0.249095665,-0.123195621,0.563513514,0,-0.310914251,1,0.324543433,-0.02777625,0.473648937,0.226525275,-0.182771058,0.593573803
Xanthomonas_OG0000011,0.129747597,-0.187462469,0.741741201,0.164461623,-0.194558907,0.68475999,0.293922272,-0.054910535,0.508250399,0.251703336,-0.156102884,0.560140099
Xanthomonas_OG0000012,0,-0.257329281,1,0,-0.310914251,1,0.294699758,-0.054221582,0.507341328,0.251578641,-0.156234958,0.56030095
Xanthomonas_OG0000013,0,-0.257329281,1,0,-0.310914251,1,0.294699758,-0.054221582,0.507341328,0.251578641,-0.156234958,0.56030095
Xanthomonas_OG0000014,0,-0.257329281,1,0,-0.310914251,1,0.294699758,-0.054221582,0.507341328,0.251578641,-0.156234958,0.56030095
Xanthomonas_OG0000015,0.374826187,-0.055491933,0.421865308,0,-0.310914251,1,0.340320096,-0.013796098,0.456751418,0.214613043,-0.195388291,0.610080237
Xanthomonas_OG0000016,0,-0.257329281,1,0,-0.310914251,1,0.294699758,-0.054221582,0.507341328,0.251578641,-0.156234958,0.56030095
Xanthomonas_OG0000017,0.374826187,-0.055491933,0.421865308,0,-0.310914251,1,0.340320096,-0.013796098,0.456751418,0.214613043,-0.195388291,0.610080237
Xanthomonas_OG0000018,1.813177828,0.719035274,0.015375249,0,-0.310914251,1,0.555986106,0.17731171,0.27798022,0.109467497,-0.306756665,0.777199483
Xanthomonas_OG0000019,0,-0.257329281,1,0,-0.310914251,1,0.294699758,-0.054221582,0.507341328,0.251578641,-0.156234958,0.56030095
Xanthomonas_OG0000020,0,-0.257329281,1,0,-0.310914251,1,0.294699758,-0.054221582,0.507341328,0.251578641,-0.156234958,0.56030095
Xanthomonas_OG0000021,0,-0.257329281,1,14.79565145,10.15689636,1.60E-15,1.60E-11,-0.31536345,1,9.223604764,9.346782508,5.98E-10
Xanthomonas_OG0000022,0.628703473,0.081216546,0.235123765,0,-0.310914251,1,0.373654464,0.015742437,0.423005034,0.19200205,-0.21933747,0.642684684
Xanthomonas_OG0000023,1.28E-07,-0.257329212,0.999999706,5.751072946,3.757926015,1.77E-06,0.000768322,-0.314682618,0.998232437,2.442693695,2.164556839,0.00360833
Xanthomonas_OG0000024,1.35E-10,-0.257329281,1,7.945806149,5.310683025,1.13E-08,1.33E-08,-0.315363438,0.999999969,6.192973103,6.136789,6.41E-07
Xanthomonas_OG0000025,2.12E-15,-0.257329281,1,13.0610615,8.929687193,8.69E-14,1.50E-07,-0.315363317,0.999999654,5.865726898,5.790175386,1.36E-06
Xanthomonas_OG0000026,1.245214396,0.413196897,0.056857218,0.003575028,-0.308384946,0.991801983,0.512398198,0.13868722,0.307327768,0.124153251,-0.291201764,0.751357712
Xanthomonas_OG0000027,0,-0.257329281,1,0,-0.310914251,1,0.294699758,-0.054221582,0.507341328,0.251578641,-0.156234958,0.56030095
Xanthomonas_OG0000028,0,-0.257329281,1,0,-0.310914251,1,0.294699758,-0.054221582,0.507341328,0.251578641,-0.156234958,0.56030095
Xanthomonas_OG0000029,1.543777544,0.573967932,0.028590546,0,-0.310914251,1,0.510575669,0.137072225,0.308620188,0.125192386,-0.29010113,0.749562091
Xanthomonas_OG0000030,0.75687118,0.150232615,0.17503658,0,-0.310914251,1,0.391241198,0.031326544,0.406217662,0.181296294,-0.230676825,0.658724333
Xanthomonas_OG0000031,0.593698766,0.062367123,0.254859739,0.066778545,-0.26366894,0.857474976,0.458390555,0.090829506,0.348024201,0.1425183,-0.271749816,0.720247401
Xanthomonas_OG0000032,2.59E-09,-0.257329279,0.999999994,7.271461664,4.833589443,5.35E-08,0.000826943,-0.314630672,0.998097706,2.431301743,2.152490677,0.003704233
Xanthomonas_OG0000033,3.659699588,1.713354953,0.000218928,0,-0.310914251,1,0.931072985,0.5096869,0.117199839,0.038964318,-0.381432433,0.914188349
Xanthomonas_OG0000034,0.351712814,-0.067938081,0.444925386,0.06050826,-0.268105119,0.869944887,0.339989253,-0.014089268,0.457099501,0.214334718,-0.195683088,0.610471343
Xanthomonas_OG0000035,0.249095665,-0.123195621,0.563513514,0,-0.310914251,1,0.324543433,-0.02777625,0.473648937,0.226525275,-0.182771058,0.593573803
Xanthomonas_OG0000036,0.124156928,-0.190472946,0.751351351,0,-0.310914251,1,0.309341362,-0.041247239,0.490522167,0.238846201,-0.169720942,0.576970753
Xanthomonas_OG0000037,0.124156928,-0.190472946,0.751351351,0,-0.310914251,1,0.309341362,-0.041247239,0.490522167,0.238846201,-0.169720942,0.576970753
Xanthomonas_OG0000038,0.501358667,0.012643594,0.31524001,0,-0.310914251,1,0.356685628,0.000705867,0.439859901,0.203106421,-0.207575909,0.626460336
Xanthomonas_OG0000039,0,-0.257329281,1,0,-0.310914251,1,0.294699758,-0.054221582,0.507341328,0.251578641,-0.156234958,0.56030095
Xanthomonas_OG0000040,0,-0.257329281,1,0,-0.310914251,1,0.294699758,-0.054221582,0.507341328,0.251578641,-0.156234958,0.56030095
Xanthomonas_OG0000041,0,-0.257329281,1,0,-0.310914251,1,0.294699758,-0.054221582,0.507341328,0.251578641,-0.156234958,0.56030095
Xanthomonas_OG0000042,0,-0.257329281,1,0,-0.310914251,1,0.294699758,-0.054221582,0.507341328,0.251578641,-0.156234958,0.56030095
Xanthomonas_OG0000043,0,-0.257329281,1,0,-0.310914251,1,0.294699758,-0.054221582,0.507341328,0.251578641,-0.156234958,0.56030095
Xanthomonas_OG0000044,3.81866102,1.798952904,0.000151823,3.90E-06,-0.310911495,0.999991029,1.130862317,0.68672593,0.073983979,0.023055875,-0.398282385,0.948296451
Xanthomonas_OG0000045,0.006146912,-0.254019276,0.985945906,1.356929964,0.649103354,0.04396125,0.117123913,-0.211576607,0.763617877,0.527360759,0.135868771,0.296919856
Xanthomonas_OG0000046,2.371650831,1.01976322,0.004249611,0.000511343,-0.31055248,0.998823282,1.133921397,0.689436668,0.073464682,0.022189611,-0.399199917,0.950189855
Xanthomonas_OG0000047,0.501358667,0.012643594,0.31524001,0,-0.310914251,1,0.356685628,0.000705867,0.439859901,0.203106421,-0.207575909,0.626460336
Xanthomonas_OG0000048,0,-0.257329281,1,0,-0.310914251,1,0.294699758,-0.054221582,0.507341328,0.251578641,-0.156234958,0.56030095
Xanthomonas_OG0000049,0.374826187,-0.055491933,0.421865308,0,-0.310914251,1,0.340320096,-0.013796098,0.456751418,0.214613043,-0.195388291,0.610080237
Xanthomonas_OG0000050,0,-0.257329281,1,0.604413897,0.116703973,0.248648649,0.252883965,-0.091275749,0.558619426,0.292874707,-0.112494867,0.509477833
Xanthomonas_OG0000051,2.928978973,1.319874679,0.001177663,0,-0.310914251,1,0.76925339,0.366293937,0.170116567,0.06009911,-0.359046821,0.870764851
Xanthomonas_OG0000052,0,-0.257329281,1,0,-0.310914251,1,0.294699758,-0.054221582,0.507341328,0.251578641,-0.156234958,0.56030095
Xanthomonas_OG0000053,0,-0.257329281,1,0,-0.310914251,1,0.294699758,-0.054221582,0.507341328,0.251578641,-0.156234958,0.56030095
Xanthomonas_OG0000054,0.129747597,-0.187462469,0.741741201,0.164461623,-0.194558907,0.68475999,0.293922272,-0.054910535,0.508250399,0.251703336,-0.156102884,0.560140099
Xanthomonas_OG0000055,0.75687118,0.150232615,0.17503658,0,-0.310914251,1,0.391241198,0.031326544,0.406217662,0.181296294,-0.230676825,0.658724333
Xanthomonas_OG0000056,0.003277468,-0.255564422,0.992481755,1.736164557,0.917408937,0.018358426,0.023439542,-0.294593003,0.947459071,1.073948392,0.714805094,0.084343498
Xanthomonas_OG0000057,0,-0.257329281,1,0,-0.310914251,1,0.294699758,-0.054221582,0.507341328,0.251578641,-0.156234958,0.56030095
Xanthomonas_OG0000058,2.580838737,1.132407249,0.002625193,9.51E-05,-0.310846976,0.999781072,0.806436669,0.399243103,0.156157674,0.054137596,-0.365361155,0.882800161
Xanthomonas_OG0000059,0.501358667,0.012643594,0.31524001,0,-0.310914251,1,0.356685628,0.000705867,0.439859901,0.203106421,-0.207575909,0.626460336
Xanthomonas_OG0000060,1.015718641,0.289617446,0.096445365,0,-0.310914251,1,0.42832755,0.064189819,0.372968754,0.161064644,-0.252105844,0.69013707
Xanthomonas_OG0000061,0.124156928,-0.190472946,0.751351351,0,-0.310914251,1,0.309341362,-0.041247239,0.490522167,0.238846201,-0.169720942,0.576970753
Xanthomonas_OG0000062,0.196744377,-0.151385874,0.635704993,0.116408832,-0.22855589,0.764876235,0.30869988,-0.041815675,0.491247237,0.238827976,-0.169740246,0.576994966
Xanthomonas_OG0000063,0.718254251,0.129438073,0.191313558,0.017215731,-0.298734253,0.961134726,0.409921773,0.047879935,0.389115228,0.170288009,-0.242336613,0.67563477
Xanthomonas_OG0000064,2.979653656,1.34716211,0.001047964,3.36E-05,-0.310890479,0.999922634,0.905369841,0.486910611,0.124345525,0.041543181,-0.378700945,0.908775937
Xanthomonas_OG0000065,0.351712814,-0.067938081,0.444925386,0.06050826,-0.268105119,0.869944887,0.339989253,-0.014089268,0.457099501,0.214334718,-0.195683088,0.610471343
Xanthomonas_OG0000066,0.351712814,-0.067938081,0.444925386,0.06050826,-0.268105119,0.869944887,0.339989253,-0.014089268,0.457099501,0.214334718,-0.195683088,0.610471343
Xanthomonas_OG0000067,0.124156928,-0.190472946,0.751351351,0,-0.310914251,1,0.309341362,-0.041247239,0.490522167,0.238846201,-0.169720942,0.576970753
Xanthomonas_OG0000068,0,-0.257329281,1,0,-0.310914251,1,0.294699758,-0.054221582,0.507341328,0.251578641,-0.156234958,0.56030095
Xanthomonas_OG0000069,0,-0.257329281,1,0,-0.310914251,1,0.294699758,-0.054221582,0.507341328,0.251578641,-0.156234958,0.56030095
Xanthomonas_OG0000070,1.277989927,0.430845948,0.052724209,0,-0.310914251,1,0.468064754,0.099402089,0.340357438,0.142376573,-0.271899931,0.720482483
Xanthomonas_OG0000071,2.086291162,0.866102028,0.008198017,0,-0.310914251,1,0.604425007,0.220234802,0.248642288,0.09515241,-0.321918961,0.803244184
Xanthomonas_OG0000072,1.813177828,0.719035274,0.015375249,0,-0.310914251,1,0.555986106,0.17731171,0.27798022,0.109467497,-0.306756665,0.777199483
Xanthomonas_OG0000073,0.437322568,-0.021838725,0.36532335,0.044045582,-0.279752338,0.903554635,0.35653056,0.000568456,0.440016984,0.202710817,-0.207994926,0.627031246
Xanthomonas_OG0000074,0.027246915,-0.242657294,0.939189189,0.360029197,-0.056196339,0.436486486,0.266028595,-0.079627918,0.541965205,0.278724496,-0.127482531,0.526351063
Xanthomonas_OG0000075,3.75E-06,-0.257327261,0.999991362,4.3212497,2.746336969,4.77E-05,0.009731937,-0.306739703,0.977840595,1.451234954,1.114420603,0.035380588
Xanthomonas_OG0000076,0.249095665,-0.123195621,0.563513514,0,-0.310914251,1,0.324543433,-0.02777625,0.473648937,0.226525275,-0.182771058,0.593573803
Xanthomonas_OG0000077,1.813177828,0.719035274,0.015375249,0,-0.310914251,1,0.555986106,0.17731171,0.27798022,0.109467497,-0.306756665,0.777199483
Xanthomonas_OG0000078,0.501358667,0.012643594,0.31524001,0,-0.310914251,1,0.356685628,0.000705867,0.439859901,0.203106421,-0.207575909,0.626460336
Xanthomonas_OG0000079,0,-0.257329281,1,0,-0.310914251,1,0.294699758,-0.054221582,0.507341328,0.251578641,-0.156234958,0.56030095
Xanthomonas_OG0000080,0.124156928,-0.190472946,0.751351351,0,-0.310914251,1,0.309341362,-0.041247239,0.490522167,0.238846201,-0.169720942,0.576970753
Xanthomonas_OG0000081,0.196744377,-0.151385874,0.635704993,0.116408832,-0.22855589,0.764876235,0.30869988,-0.041815675,0.491247237,0.238827976,-0.169740246,0.576994966
Xanthomonas_OG0000082,0.395409444,-0.04440821,0.40233754,0.090570779,-0.246836116,0.811762941,0.356233039,0.000304815,0.440318529,0.20186079,-0.20889526,0.628259711
Xanthomonas_OG0000083,1.13501633,0.353857166,0.073279698,0.004908767,-0.307441336,0.988760783,0.490479465,0.119264405,0.323236604,0.132612989,-0.282241353,0.736863443
Xanthomonas_OG0000084,0.196744377,-0.151385874,0.635704993,0.116408832,-0.22855589,0.764876235,0.30869988,-0.041815675,0.491247237,0.238827976,-0.169740246,0.576994966
Xanthomonas_OG0000085,1.949263926,0.792315258,0.011239217,0,-0.310914251,1,0.579818812,0.198430551,0.263136557,0.102137013,-0.314520989,0.790429221
Xanthomonas_OG0000086,0.271192122,-0.111297066,0.535559686,0.083565308,-0.251792433,0.82496342,0.324050644,-0.028212924,0.474186686,0.226372724,-0.182932637,0.593782338
Xanthomonas_OG0000087,0,-0.257329281,1,0,-0.310914251,1,0.294699758,-0.054221582,0.507341328,0.251578641,-0.156234958,0.56030095
Xanthomonas_OG0000088,0.249095665,-0.123195621,0.563513514,0,-0.310914251,1,0.324543433,-0.02777625,0.473648937,0.226525275,-0.182771058,0.593573803
Xanthomonas_OG0000089,1.027057648,0.295723303,0.093959858,0.006729252,-0.306153357,0.984624751,0.469288676,0.100486642,0.339399598,0.141450904,-0.272880384,0.72201978
Xanthomonas_OG0000090,2.71222864,1.203158415,0.001939864,6.74E-05,-0.310866564,0.999844811,0.838446076,0.427607552,0.145062088,0.049665092,-0.370098355,0.891938494
Xanthomonas_OG0000091,0.124156928,-0.190472946,0.751351351,0,-0.310914251,1,0.309341362,-0.041247239,0.490522167,0.238846201,-0.169720942,0.576970753
Xanthomonas_OG0000092,1.813177828,0.719035274,0.015375249,0,-0.310914251,1,0.555986106,0.17731171,0.27798022,0.109467497,-0.306756665,0.777199483
Xanthomonas_OG0000093,0.124156928,-0.190472946,0.751351351,0,-0.310914251,1,0.309341362,-0.041247239,0.490522167,0.238846201,-0.169720942,0.576970753
Xanthomonas_OG0000094,0,-0.257329281,1,0,-0.310914251,1,0.294699758,-0.054221582,0.507341328,0.251578641,-0.156234958,0.56030095
Xanthomonas_OG0000095,0.124156928,-0.190472946,0.751351351,0,-0.310914251,1,0.309341362,-0.041247239,0.490522167,0.238846201,-0.169720942,0.576970753
Xanthomonas_OG0000096,0.527295405,0.026610074,0.29696454,0.032162186,-0.28815975,0.928619532,0.373689589,0.015773562,0.422970824,0.191497594,-0.219871782,0.64343163
Xanthomonas_OG0000097,1.027057648,0.295723303,0.093959858,0.006729252,-0.306153357,0.984624751,0.469288676,0.100486642,0.339399598,0.141450904,-0.272880384,0.72201978
Xanthomonas_OG0000098,0.249095665,-0.123195621,0.563513514,0,-0.310914251,1,0.324543433,-0.02777625,0.473648937,0.226525275,-0.182771058,0.593573803
Xanthomonas_OG0000099,1.277989927,0.430845948,0.052724209,0,-0.310914251,1,0.468064754,0.099402089,0.340357438,0.142376573,-0.271899931,0.720482483
Xanthomonas_OG0000100,0.527295405,0.026610074,0.29696454,0.032162186,-0.28815975,0.928619532,0.373689589,0.015773562,0.422970824,0.191497594,-0.219871782,0.64343163
Xanthomonas_OG0000101,0.052154426,-0.229245034,0.886840613,0.618145546,0.12641901,0.240909793,0.196053643,-0.14163472,0.63671687,0.362902212,-0.038322925,0.433608501
Xanthomonas_OG0000102,1.015718641,0.289617446,0.096445365,0,-0.310914251,1,0.42832755,0.064189819,0.372968754,0.161064644,-0.252105844,0.69013707
Xanthomonas_OG0000103,0.08210338,-0.213118046,0.827745103,0.510534049,0.050284696,0.308649765,0.20432817,-0.134302425,0.624700466,0.348560315,-0.053513618,0.448166804
Xanthomonas_OG0000104,0.124156928,-0.190472946,0.751351351,0,-0.310914251,1,0.309341362,-0.041247239,0.490522167,0.238846201,-0.169720942,0.576970753
Xanthomonas_OG0000105,4.258859057,2.035991849,5.51E-05,1.28E-06,-0.310913349,0.999997063,1.258589476,0.799908612,0.05513286,0.016619801,-0.405099366,0.962454482
Xanthomonas_OG0000106,0.124156928,-0.190472946,0.751351351,0,-0.310914251,1,0.309341362,-0.041247239,0.490522167,0.238846201,-0.169720942,0.576970753
Xanthomonas_OG0000107,0.271192122,-0.111297066,0.535559686,0.083565308,-0.251792433,0.82496342,0.324050644,-0.028212924,0.474186686,0.226372724,-0.182932637,0.593782338
