gene.id,score_enriched_binary,z.score_enriched_binary,p.value_enriched_binary,score_depletion_binary,z.score_depletion_binary,p.value_depletion_binary,score_enriched_rawcounts,z.score_enriched_rawcounts,p.value_enriched_rawcounts,score_depletion_rawcounts,z.score_depletion_rawcounts,p.value_depletion_rawcounts
Xanthomonas_OG0000000,0.050687392,-0.320623508,0.889841402,0.527671933,-0.042659822,0.296707188,1.31E-05,-0.420511651,0.99996988,4.443317587,0.913762709,3.60E-05
Xanthomonas_OG0000001,0,-0.35760666,1,0.565470452,-0.030282637,0.271975353,2.388422056,1.543535202,0.004088631,0.001556033,-0.153414325,0.996423513
Xanthomonas_OG0000002,1.42E-08,-0.35760665,0.999999967,6.537445992,1.925250133,2.90E-07,0,-0.420522408,1,249.8170106,59.86721318,1.52E-250
Xanthomonas_OG0000003,1.32E-13,-0.35760666,1,11.06373119,3.40738933,8.64E-12,0,-0.420522408,1,238.2687172,57.09262175,5.39E-239
Xanthomonas_OG0000004,1.42E-14,-0.35760666,1,12.61586882,3.915639235,2.42E-13,0,-0.420522408,1,252.7798157,60.57905632,1.66E-253
Xanthomonas_OG0000005,0.006547764,-0.352829201,0.985036302,1.224085348,0.185381845,0.059691797,5.431922393,4.046279632,3.70E-06,1.24E-06,-0.15378788,0.999997156
Xanthomonas_OG0000006,0.6433971,0.111836571,0.227301813,0,-0.215446825,1,1.517354323,0.827234996,0.030384051,0.011678027,-0.150982416,0.973468657
Xanthomonas_OG0000007,9.64E-17,-0.35760666,1,14.75805033,4.617099933,1.75E-15,0,-0.420522408,1,147.4171356,35.264633,3.83E-148
Xanthomonas_OG0000008,0.211258736,-0.203465488,0.614810483,0.155496089,-0.164529386,0.699043031,3.889754482,2.778117409,0.000128898,4.34E-05,-0.153777752,0.9999001
Xanthomonas_OG0000009,0,-0.35760666,1,0,-0.215446825,1,0.21225612,-0.245979033,0.613400153,0.385558926,-0.061153841,0.411567501
