gene.id,score_enriched_binary,z.score_enriched_binary,p.value_enriched_binary,score_depletion_binary,z.score_depletion_binary,p.value_depletion_binary,score_enriched_rawcounts,z.score_enriched_rawcounts,p.value_enriched_rawcounts,score_depletion_rawcounts,z.score_depletion_rawcounts,p.value_depletion_rawcounts
Xanthomonas_OG0000000,0.374826187,-0.055491933,0.421865308,0,-0.310914251,1,0.000137901,-0.306705448,0.999682522,3.398673579,1.566136624,0.000399325
Xanthomonas_OG0000001,0,-0.257329281,1,0,-0.310914251,1,2.136695129,1.357783575,0.007299698,0.002656737,-0.245312733,0.993901311
Xanthomonas_OG0000002,2.17E-05,-0.257317613,0.99995011,3.369369755,2.072889165,0.000427199,0,-0.30681288,1,107.479158,57.08309524,3.32E-108
Xanthomonas_OG0000003,6.79E-10,-0.257329281,0.999999998,7.288950295,4.845962516,5.14E-08,0,-0.30681288,1,104.7359653,55.61986498,1.84E-105
Xanthomonas_OG0000004,1.49E-10,-0.257329281,1,8.473780534,5.684220878,3.36E-09,0,-0.30681288,1,64.42917534,34.12005738,3.72E-65
Xanthomonas_OG0000005,0.129747597,-0.187462469,0.741741201,0.164461623,-0.194558907,0.68475999,7.101040041,5.225266039,7.92E-08,2.27E-08,-0.246729835,0.999999948
Xanthomonas_OG0000006,0.249095665,-0.123195621,0.563513514,0,-0.310914251,1,2.997046569,2.028042021,0.001006824,0.000330867,-0.246553361,0.99923844
Xanthomonas_OG0000007,3.66E-15,-0.257329281,1,12.82398089,8.761954468,1.50E-13,0,-0.30681288,1,32.81369253,17.25622876,1.54E-33
Xanthomonas_OG0000008,0.129747597,-0.187462469,0.741741201,0.164461623,-0.194558907,0.68475999,3.507222054,2.425495216,0.000311013,9.62E-05,-0.246678508,0.999778408
Xanthomonas_OG0000009,0,-0.257329281,1,0,-0.310914251,1,1.000595711,0.472703136,0.099862926,0.038547077,-0.226168678,0.915067062
Xanthomonas_OG0000010,0.249095665,-0.123195621,0.563513514,0,-0.310914251,1,1.107349679,0.55587002,0.078099872,0.029277243,-0.231113245,0.934808725
Xanthomonas_OG0000011,0.129747597,-0.187462469,0.741741201,0.164461623,-0.194558907,0.68475999,0.37812138,-0.012236691,0.418676534,0.207930222,-0.135819011,0.619540609
Xanthomonas_OG0000012,0,-0.257329281,1,0,-0.310914251,1,0.43120528,0.029118424,0.370505552,0.176491837,-0.152588375,0.66605204
Xanthomonas_OG0000013,0,-0.257329281,1,0,-0.310914251,1,0.642376296,0.193631611,0.227836712,0.09634265,-0.195340281,0.801045805
Xanthomonas_OG0000014,0,-0.257329281,1,0,-0.310914251,1,0.485587929,0.071485331,0.326897855,0.149874764,-0.166786031,0.708149962
Xanthomonas_OG0000015,0.374826187,-0.055491933,0.421865308,0,-0.310914251,1,0.546308391,0.118789724,0.284244198,0.12569344,-0.179684449,0.748697805
Xanthomonas_OG0000016,0,-0.257329281,1,0,-0.310914251,1,1.46E-05,-0.306801538,0.999966478,4.282511944,2.037579645,5.22E-05
Xanthomonas_OG0000017,0.374826187,-0.055491933,0.421865308,0,-0.310914251,1,0.06045506,-0.259715249,0.870051459,0.806176697,0.18328812,0.156251179
Xanthomonas_OG0000018,1.813177828,0.719035274,0.015375249,0,-0.310914251,1,4.539478761,3.229676791,2.89E-05,8.21E-06,-0.246725467,0.999981092
Xanthomonas_OG0000019,0,-0.257329281,1,0,-0.310914251,1,0.000439596,-0.306470411,0.998988305,2.839072694,1.267643209,0.001448529
Xanthomonas_OG0000020,0,-0.257329281,1,0,-0.310914251,1,4.839526722,3.463429733,1.45E-05,3.82E-06,-0.24672781,0.999991207
Xanthomonas_OG0000021,0,-0.257329281,1,14.79565145,10.15689636,1.60E-15,0,-0.30681288,1,68.43835146,36.25856842,3.64E-69
Xanthomonas_OG0000022,0.628703473,0.081216546,0.235123765,0,-0.310914251,1,3.338949411,2.294402089,0.000458195,0.000135298,-0.246657679,0.999688514
Xanthomonas_OG0000023,1.28E-07,-0.257329212,0.999999706,5.751072946,3.757926015,1.77E-06,6.60E-12,-0.30681288,1,10.43127391,5.317354576,3.70E-11
Xanthomonas_OG0000024,1.35E-10,-0.257329281,1,7.945806149,5.310683025,1.13E-08,0,-0.30681288,1,89.12468179,47.29274213,7.50E-90
Xanthomonas_OG0000025,2.12E-15,-0.257329281,1,13.0610615,8.929687193,8.69E-14,0,-0.30681288,1,33.32023879,17.52642263,4.78E-34
Xanthomonas_OG0000026,1.245214396,0.413196897,0.056857218,0.003575028,-0.308384946,0.991801983,0.014199585,-0.295750665,0.967832974,1.385084686,0.492080024,0.041201717
Xanthomonas_OG0000027,0,-0.257329281,1,0,-0.310914251,1,6.235033679,4.550602115,5.82E-07,1.45E-07,-0.246729769,0.999999665
Xanthomonas_OG0000028,0,-0.257329281,1,0,-0.310914251,1,1.794905729,1.091511885,0.016035934,0.005365198,-0.243868028,0.987722171
Xanthomonas_OG0000029,1.543777544,0.573967932,0.028590546,0,-0.310914251,1,5.47362045,3.957421673,3.36E-06,8.96E-07,-0.246729369,0.999997936
Xanthomonas_OG0000030,0.75687118,0.150232615,0.17503658,0,-0.310914251,1,0.000232347,-0.30663187,0.999465145,3.089378594,1.401157407,0.000813994
Xanthomonas_OG0000031,0.593698766,0.062367123,0.254859739,0.066778545,-0.26366894,0.857474976,0.008261536,-0.300376714,0.981156903,1.591138658,0.60199006,0.025636654
