orthogroup.id,Estimate,SE,z.value,p.value
Xanthomonas_OG0000000,0.806744358,0.844752944,0.95500627,0.339574526
Xanthomonas_OG0000001,1.664369824,1.92466128,0.864759862,0.387170606
Xanthomonas_OG0000002,0.759299999,0.357024052,2.126747469,0.033441071
Xanthomonas_OG0000003,0.569172341,0.316482878,1.798430124,0.072108873
Xanthomonas_OG0000004,0.267288316,0.194347845,1.375308874,0.169035706
Xanthomonas_OG0000005,0.94060804,0.62266197,1.510623878,0.130884307
Xanthomonas_OG0000006,-1.615634151,1.922043798,-0.84058134,0.400582516
Xanthomonas_OG0000007,0.348760781,0.190963727,1.82631951,0.067802148
Xanthomonas_OG0000008,0.056841837,0.864886874,0.065721701,0.947599395
Xanthomonas_OG0000009,NA,NA,NA,NA
Xanthomonas_OG0000010,-1.603613615,1.873992402,-0.855720446,0.392152428
Xanthomonas_OG0000011,0.968442244,0.82780452,1.169892432,0.24204426
Xanthomonas_OG0000012,1.12527849,2.313808098,0.486331814,0.626731926
Xanthomonas_OG0000013,1.654786762,1.946339263,0.850204686,0.395211297
Xanthomonas_OG0000014,1.651041422,1.916246787,0.861601665,0.388906754
Xanthomonas_OG0000015,0.616931908,0.866943926,0.711616852,0.476702068
Xanthomonas_OG0000016,NA,NA,NA,NA
Xanthomonas_OG0000017,1.524557442,0.668951422,2.27902564,0.022665541
Xanthomonas_OG0000018,-0.810393303,0.593865313,-1.36460791,0.172376317
Xanthomonas_OG0000019,1.647105367,1.913779407,0.860655811,0.389427638
Xanthomonas_OG0000020,1.124661769,2.313454516,0.486139564,0.626868217
Xanthomonas_OG0000021,0.76034725,0.228020005,3.334563788,0.000854333
Xanthomonas_OG0000022,-0.166372512,0.702568631,-0.236806065,0.812807247
Xanthomonas_OG0000023,0.114662908,0.176850877,0.648359287,0.516752597
Xanthomonas_OG0000024,1.063143807,0.279847757,3.79900779,0.000145277
Xanthomonas_OG0000025,0.346226304,0.19648086,1.762137561,0.078046058
Xanthomonas_OG0000026,-1.088697243,0.512559766,-2.124039605,0.033666832
Xanthomonas_OG0000027,1.647384209,1.910070978,0.862472771,0.388427411
