orthogroup.id,Estimate,SE,z.value,p.value
Xanthomonas_OG0000000,-1.044251334,1.608256338,-0.649306525,0.516140269
Xanthomonas_OG0000001,0.190836268,1.796113006,0.106249589,0.915384327
Xanthomonas_OG0000002,0.079234788,0.379685905,0.208685093,0.834694078
Xanthomonas_OG0000003,-0.055390147,0.374796998,-0.147787061,0.882510821
Xanthomonas_OG0000004,0.03655246,0.309247338,0.11819814,0.905910663
Xanthomonas_OG0000005,-0.231534958,0.932704642,-0.248240383,0.803948423
Xanthomonas_OG0000006,NA,NA,NA,NA
Xanthomonas_OG0000007,0.123001011,0.366318518,0.335776122,0.737039698
Xanthomonas_OG0000008,0.786559944,1.131738309,0.695001608,0.487054294
Xanthomonas_OG0000009,NA,NA,NA,NA
Xanthomonas_OG0000010,NA,NA,NA,NA
Xanthomonas_OG0000011,-0.032853973,1.00045182,-0.032839136,0.973802869
Xanthomonas_OG0000012,0.19712665,2.523904037,0.078103861,0.937745436
Xanthomonas_OG0000013,0.190569651,1.802586268,0.105720128,0.91580441
Xanthomonas_OG0000014,0.190836268,1.796113006,0.106249589,0.915384327
Xanthomonas_OG0000015,-0.887670113,1.646600884,-0.539092455,0.589823062
Xanthomonas_OG0000016,NA,NA,NA,NA
Xanthomonas_OG0000017,-1.651218218,1.338395896,-1.23372929,0.217303796
Xanthomonas_OG0000018,-1.068286655,1.628756594,-0.655890916,0.511894313
Xanthomonas_OG0000019,0.191090442,1.796191804,0.106386435,0.915275755
Xanthomonas_OG0000020,0.19712665,2.523904037,0.078103861,0.937745436
Xanthomonas_OG0000021,0.519300472,0.682201017,0.761213277,0.446529689
Xanthomonas_OG0000022,-0.656315638,1.697448202,-0.386648404,0.699016519
Xanthomonas_OG0000023,0.984452057,0.384922301,2.55753448,0.010541711
Xanthomonas_OG0000024,0.548528225,0.800780301,0.684992157,0.49334887
Xanthomonas_OG0000025,-0.116865152,0.398764943,-0.293067768,0.769470353
Xanthomonas_OG0000026,0.366364151,0.991286981,0.369584347,0.711692216
Xanthomonas_OG0000027,0.191179474,1.795959867,0.106449747,0.915225525
Xanthomonas_OG0000028,0.19712665,2.523904037,0.078103861,0.937745436
Xanthomonas_OG0000029,-0.65633086,1.697446599,-0.386657737,0.699009608
Xanthomonas_OG0000030,-1.932746655,1.51071926,-1.279355276,0.200771976
Xanthomonas_OG0000031,-0.005611482,0.38717867,-0.014493263,0.988436454
Xanthomonas_OG0000032,0.308837089,0.324096022,0.952918482,0.340631375
Xanthomonas_OG0000033,-2.443117467,1.485275487,-1.644891798,0.099992127
Xanthomonas_OG0000034,0.337155941,1.020748768,0.330302569,0.741171352
Xanthomonas_OG0000035,-1.835705789,1.513165352,-1.213156108,0.225070142
Xanthomonas_OG0000036,NA,NA,NA,NA
Xanthomonas_OG0000037,0.19712665,2.523904037,0.078103861,0.937745436
Xanthomonas_OG0000038,0.150018387,1.491617653,0.10057429,0.919888407
Xanthomonas_OG0000039,NA,NA,NA,NA
Xanthomonas_OG0000040,0.190836268,1.796113006,0.106249589,0.915384327
Xanthomonas_OG0000041,NA,NA,NA,NA
Xanthomonas_OG0000042,NA,NA,NA,NA
Xanthomonas_OG0000043,NA,NA,NA,NA
Xanthomonas_OG0000044,-2.021329914,1.242690888,-1.626574986,0.103827395
Xanthomonas_OG0000045,-0.044443206,0.452533162,-0.098209832,0.921765676
Xanthomonas_OG0000046,-0.379230046,0.483218327,-0.784800625,0.432570474
Xanthomonas_OG0000047,0.190569651,1.802586268,0.105720128,0.91580441
Xanthomonas_OG0000048,NA,NA,NA,NA
Xanthomonas_OG0000049,-0.378496436,1.767378818,-0.214156938,0.830424675
Xanthomonas_OG0000050,1.650522695,1.445969316,1.141464536,0.253676662
Xanthomonas_OG0000051,-1.608399867,1.411504449,-1.139493303,0.25449746
Xanthomonas_OG0000052,NA,NA,NA,NA
Xanthomonas_OG0000053,0.185038997,1.47649518,0.12532313,0.900267741
Xanthomonas_OG0000054,0.136215425,1.013417272,0.134411983,0.893076807
Xanthomonas_OG0000055,-0.656102378,1.695466157,-0.386974624,0.698774995
Xanthomonas_OG0000056,0.73549548,0.337511732,2.179170113,0.029319033
Xanthomonas_OG0000057,0.190836268,1.796113006,0.106249589,0.915384327
Xanthomonas_OG0000058,2.497972597,2.163712242,1.154484662,0.248301523
Xanthomonas_OG0000059,-1.445602057,1.425917258,-1.013805008,0.310675805
Xanthomonas_OG0000060,-0.653521984,1.695649697,-0.385410964,0.699932961
Xanthomonas_OG0000061,0.19712665,2.523904037,0.078103861,0.937745436
Xanthomonas_OG0000062,0.547086933,1.067192627,0.512641222,0.608202312
Xanthomonas_OG0000063,-0.033420707,1.000542499,-0.033402586,0.973353547
Xanthomonas_OG0000064,0.009306734,0.792703498,0.011740498,0.990632653
Xanthomonas_OG0000065,2.788032592,2.342570807,1.190159369,0.23398376
Xanthomonas_OG0000066,-0.353762106,0.93127832,-0.37986722,0.704043981
Xanthomonas_OG0000067,NA,NA,NA,NA
Xanthomonas_OG0000068,NA,NA,NA,NA
Xanthomonas_OG0000069,0.190836268,1.796113006,0.106249589,0.915384327
Xanthomonas_OG0000070,-0.746571223,1.559325539,-0.478778295,0.632096359
Xanthomonas_OG0000071,-0.918639965,1.502992371,-0.611207337,0.541062326
Xanthomonas_OG0000072,-1.033508063,1.657662388,-0.623473194,0.532973612
Xanthomonas_OG0000073,-0.198300554,0.960039473,-0.206554584,0.836357732
Xanthomonas_OG0000074,1.495245126,1.449976231,1.031220439,0.302437458
Xanthomonas_OG0000075,0.110230802,0.339597245,0.324592746,0.745489318
Xanthomonas_OG0000076,0.154033043,1.493586979,0.10312961,0.917860105
Xanthomonas_OG0000077,-1.280074598,1.562499762,-0.819247867,0.41264501
Xanthomonas_OG0000078,-1.284000307,1.575753437,-0.814848489,0.415159042
Xanthomonas_OG0000079,0.19712665,2.523904037,0.078103861,0.937745436
Xanthomonas_OG0000080,-1.040156381,1.605623155,-0.647820989,0.517100738
Xanthomonas_OG0000081,-1.274225183,0.937697684,-1.35888699,0.174182402
Xanthomonas_OG0000082,0.514855265,0.658616216,0.781722729,0.434377541
Xanthomonas_OG0000083,-0.764386943,0.975117153,-0.783892418,0.433103239
Xanthomonas_OG0000084,-1.398086437,0.916717581,-1.525100495,0.127234034
Xanthomonas_OG0000085,-2.745048633,1.496675135,-1.83409784,0.066639472
Xanthomonas_OG0000086,0.752350243,1.302480847,0.577628642,0.563514865
Xanthomonas_OG0000087,NA,NA,NA,NA
Xanthomonas_OG0000088,0.191090444,1.796191804,0.106386436,0.915275755
Xanthomonas_OG0000089,-0.176660206,0.954931486,-0.184997781,0.853230776
Xanthomonas_OG0000090,-1.902316619,0.917271239,-2.073886697,0.038089835
Xanthomonas_OG0000091,NA,NA,NA,NA
Xanthomonas_OG0000092,-2.852517787,1.523337512,-1.872544832,0.061131265
Xanthomonas_OG0000093,NA,NA,NA,NA
Xanthomonas_OG0000094,NA,NA,NA,NA
Xanthomonas_OG0000095,0.108802209,1.44345543,0.075376217,0.939915382
Xanthomonas_OG0000096,0.5774245,0.993734827,0.581064972,0.561196665
Xanthomonas_OG0000097,-0.196902804,0.959707739,-0.205169549,0.83743966
Xanthomonas_OG0000098,-0.978127301,1.577349717,-0.620108078,0.535186634
Xanthomonas_OG0000099,0.19712696,2.523903553,0.078103999,0.937745326
Xanthomonas_OG0000100,0.52682027,1.074658551,0.490221075,0.623977469
Xanthomonas_OG0000101,0.7678312,0.676613078,1.134815783,0.256452512
Xanthomonas_OG0000102,0.154471321,1.489787597,0.103686808,0.917417896
Xanthomonas_OG0000103,-0.612613401,0.385148488,-1.590590176,0.111701837
Xanthomonas_OG0000104,0.14860283,1.492114338,0.09959212,0.92066815
Xanthomonas_OG0000105,-0.53561313,0.809449889,-0.66170017,0.508163396
Xanthomonas_OG0000106,-2.136946784,1.53259636,-1.39433111,0.163217641
Xanthomonas_OG0000107,-0.168941998,0.981814941,-0.172071121,0.863381616
Xanthomonas_OG0000108,-1.667958489,1.58687848,-1.051094025,0.293215408
Xanthomonas_OG0000109,0.529792803,1.073961359,0.493307137,0.621795586
Xanthomonas_OG0000110,-1.08887558,1.501614461,-0.725136584,0.468368243
Xanthomonas_OG0000111,-1.836669418,0.914198927,-2.009047881,0.044532056
Xanthomonas_OG0000112,0.448802908,0.342614642,1.309934993,0.190217828
Xanthomonas_OG0000113,0.179319886,0.993314729,0.180526756,0.856739051
Xanthomonas_OG0000114,-1.110190037,1.526838227,-0.727117004,0.467154283
Xanthomonas_OG0000115,0.19712696,2.523903553,0.078103999,0.937745326
Xanthomonas_OG0000116,NA,NA,NA,NA
Xanthomonas_OG0000117,0.19712665,2.523904037,0.078103861,0.937745436
Xanthomonas_OG0000118,-2.576167042,0.599138563,-4.299785061,1.71E-05
Xanthomonas_OG0000119,-1.455092908,0.913616968,-1.592672815,0.111233609
Xanthomonas_OG0000120,0.39483324,1.004180847,0.393189375,0.694179616
Xanthomonas_OG0000121,0.006671482,0.273058583,0.02443242,0.980507689
Xanthomonas_OG0000122,-1.777322863,0.912997846,-1.946688998,0.051572031
Xanthomonas_OG0000123,-3.065680462,1.650851543,-1.85702977,0.063306919
Xanthomonas_OG0000124,1.132355638,1.229715675,0.920827197,0.357140653
Xanthomonas_OG0000125,-0.135772074,1.033752682,-0.131339029,0.895507118
Xanthomonas_OG0000126,-0.657490195,1.69820995,-0.387166613,0.698632865
Xanthomonas_OG0000127,-1.167747256,1.606333054,-0.726964594,0.467247646
Xanthomonas_OG0000128,-0.031694894,1.00019561,-0.031688696,0.97472031
Xanthomonas_OG0000129,0.19083627,1.796113005,0.10624959,0.915384327
Xanthomonas_OG0000130,-0.838492892,1.670918969,-0.501815412,0.615797371
Xanthomonas_OG0000131,0.19712665,2.523904037,0.078103861,0.937745436
Xanthomonas_OG0000132,0.322713438,1.034669095,0.311900142,0.755116414
Xanthomonas_OG0000133,NA,NA,NA,NA
Xanthomonas_OG0000134,2.788032592,2.342570807,1.190159369,0.23398376
Xanthomonas_OG0000135,-3.334094998,1.48875967,-2.239511901,0.025122628
Xanthomonas_OG0000136,0.628084856,0.757401442,0.829262821,0.406955704
Xanthomonas_OG0000137,0.196987955,2.523769774,0.07805306,0.937785846
Xanthomonas_OG0000138,0.923530807,0.851692461,1.084347754,0.278210639
Xanthomonas_OG0000139,-1.166107788,1.561864508,-0.746612643,0.455297414
Xanthomonas_OG0000140,-1.912020164,0.922956225,-2.071626057,0.038300328
