orthogroup.id,Estimate,SE,z.value,p.value
Xanthomonas_OG0000000,-0.690506089,1.230805147,-0.561019826,0.574784022
Xanthomonas_OG0000001,NA,NA,NA,NA
Xanthomonas_OG0000002,0.71022387,0.746532161,0.951364062,0.341419597
Xanthomonas_OG0000003,0.086467441,0.619420367,0.139594119,0.888980687
Xanthomonas_OG0000004,0.865095916,0.475851217,1.817996643,0.069064646
Xanthomonas_OG0000005,-0.290683169,1.120337125,-0.259460445,0.795279997
Xanthomonas_OG0000006,-0.020084621,1.66417192,-0.012068838,0.990370694
Xanthomonas_OG0000007,0.030219373,0.411859182,0.073373071,0.941509246
Xanthomonas_OG0000008,-0.325511692,1.134327813,-0.286964393,0.774139584
Xanthomonas_OG0000009,NA,NA,NA,NA
Xanthomonas_OG0000010,-1.208109299,1.431305867,-0.844060886,0.398635383
Xanthomonas_OG0000011,-0.050201987,1.210054046,-0.041487393,0.966907344
Xanthomonas_OG0000012,NA,NA,NA,NA
Xanthomonas_OG0000013,NA,NA,NA,NA
Xanthomonas_OG0000014,NA,NA,NA,NA
Xanthomonas_OG0000015,-0.690506089,1.230805147,-0.561019826,0.574784022
Xanthomonas_OG0000016,NA,NA,NA,NA
Xanthomonas_OG0000017,0.742249498,1.716770264,0.432352257,0.665485412
Xanthomonas_OG0000018,-0.362846526,0.629768491,-0.57615859,0.564507992
Xanthomonas_OG0000019,NA,NA,NA,NA
Xanthomonas_OG0000020,NA,NA,NA,NA
Xanthomonas_OG0000021,-0.021764001,0.353249215,-0.061610898,0.950872698
Xanthomonas_OG0000022,-0.036837575,1.083059883,-0.034012501,0.972867182
Xanthomonas_OG0000023,0.499315844,0.421481205,1.184669299,0.236148226
Xanthomonas_OG0000024,0.780788262,0.378957002,2.060361089,0.039364034
Xanthomonas_OG0000025,-0.264439006,0.38108676,-0.693907617,0.487740147
Xanthomonas_OG0000026,-1.027396011,0.544404297,-1.887193061,0.059134363
Xanthomonas_OG0000027,NA,NA,NA,NA
Xanthomonas_OG0000028,NA,NA,NA,NA
Xanthomonas_OG0000029,-1.70959975,0.632290413,-2.703820453,0.006854732
Xanthomonas_OG0000030,-1.254178848,0.84715852,-1.480453561,0.138752245
Xanthomonas_OG0000031,-0.262204769,0.382702042,-0.685140762,0.493255101
Xanthomonas_OG0000032,-0.044170469,0.423355005,-0.10433435,0.916904019
Xanthomonas_OG0000033,-0.633646666,0.473850641,-1.337228678,0.181148004
Xanthomonas_OG0000034,-0.992430396,0.798483425,-1.242894173,0.213906833
Xanthomonas_OG0000035,-1.222119032,1.43606877,-0.851017066,0.394759873
Xanthomonas_OG0000036,-0.042728438,2.332928411,-0.018315366,0.985387269
Xanthomonas_OG0000037,-2.31265532,2.320890335,-0.996451786,0.319030682
Xanthomonas_OG0000038,-0.33861944,1.113829292,-0.304013768,0.761117402
Xanthomonas_OG0000039,NA,NA,NA,NA
Xanthomonas_OG0000040,NA,NA,NA,NA
Xanthomonas_OG0000041,NA,NA,NA,NA
Xanthomonas_OG0000042,NA,NA,NA,NA
Xanthomonas_OG0000043,NA,NA,NA,NA
Xanthomonas_OG0000044,-1.299312637,0.42153532,-3.082333976,0.002053843
Xanthomonas_OG0000045,-0.559395618,0.51529791,-1.085577114,0.27766613
Xanthomonas_OG0000046,0.13716462,0.393815689,0.348296485,0.727617533
Xanthomonas_OG0000047,-0.333595371,1.11224463,-0.299929855,0.764230661
Xanthomonas_OG0000048,NA,NA,NA,NA
Xanthomonas_OG0000049,0.727186808,1.708380396,0.4256586,0.670356633
Xanthomonas_OG0000050,-0.060603947,2.322988191,-0.026088788,0.97918652
Xanthomonas_OG0000051,-1.020770173,0.499187391,-2.044863697,0.040868298
Xanthomonas_OG0000052,NA,NA,NA,NA
Xanthomonas_OG0000053,NA,NA,NA,NA
Xanthomonas_OG0000054,-0.325945228,1.13422599,-0.287372385,0.773827204
Xanthomonas_OG0000055,0.182700593,1.041030969,0.175499672,0.860687029
Xanthomonas_OG0000056,-0.438031281,0.353154269,-1.240339759,0.214849752
Xanthomonas_OG0000057,NA,NA,NA,NA
Xanthomonas_OG0000058,-0.702864446,0.516485989,-1.360858689,0.173558351
Xanthomonas_OG0000059,1.24035183,1.783009087,0.695650874,0.486647498
Xanthomonas_OG0000060,-1.789048298,0.762745545,-2.345537524,0.018999666
Xanthomonas_OG0000061,-0.060603948,2.322988191,-0.026088788,0.97918652
Xanthomonas_OG0000062,0.22097061,1.137514682,0.194257369,0.845974364
Xanthomonas_OG0000063,0.210174528,0.787095887,0.267025316,0.789449669
Xanthomonas_OG0000064,-0.888932076,0.517585562,-1.717459181,0.085895306
Xanthomonas_OG0000065,-0.413723365,0.84293787,-0.490811221,0.623559973
Xanthomonas_OG0000066,-0.52965388,0.784939061,-0.6747707,0.499821458
Xanthomonas_OG0000067,-0.042728438,2.332928411,-0.018315366,0.985387269
Xanthomonas_OG0000068,NA,NA,NA,NA
Xanthomonas_OG0000069,NA,NA,NA,NA
Xanthomonas_OG0000070,0.096212411,0.799715532,0.120308293,0.904238935
Xanthomonas_OG0000071,0.187872261,0.678075083,0.277067047,0.781728624
Xanthomonas_OG0000072,-1.083841299,0.591999563,-1.830814356,0.067128257
Xanthomonas_OG0000073,-0.753000182,0.764912102,-0.984427073,0.324905572
Xanthomonas_OG0000074,0.454189386,1.909112608,0.237906022,0.811953985
Xanthomonas_OG0000075,0.224588232,0.470384829,0.477456368,0.633037184
Xanthomonas_OG0000076,-1.222119032,1.43606877,-0.851017066,0.394759873
Xanthomonas_OG0000077,-0.754812633,0.604595757,-1.24845837,0.211863245
Xanthomonas_OG0000078,-0.449672973,1.079978847,-0.416372019,0.6771378
Xanthomonas_OG0000079,NA,NA,NA,NA
Xanthomonas_OG0000080,-2.31269183,2.320912091,-0.996458176,0.319027578
Xanthomonas_OG0000081,-0.032953877,1.083762217,-0.030406926,0.975742521
Xanthomonas_OG0000082,-0.215391937,0.586252224,-0.367404895,0.713317021
Xanthomonas_OG0000083,0.226223304,0.670709788,0.337289403,0.735898747
Xanthomonas_OG0000084,-0.064617435,1.071653122,-0.060296969,0.951919116
Xanthomonas_OG0000085,-0.95681755,0.579796831,-1.650263505,0.098889053
Xanthomonas_OG0000086,-0.619139563,0.879929339,-0.703624183,0.481666847
Xanthomonas_OG0000087,NA,NA,NA,NA
Xanthomonas_OG0000088,0.444058802,1.902844085,0.233365836,0.815477339
Xanthomonas_OG0000089,-1.364117519,0.585764163,-2.328782821,0.019870574
Xanthomonas_OG0000090,-0.689738419,0.478783069,-1.440607371,0.149695637
Xanthomonas_OG0000091,-2.31265532,2.320890335,-0.996451786,0.319030682
Xanthomonas_OG0000092,-0.752640359,0.605670075,-1.24265733,0.213994134
Xanthomonas_OG0000093,-2.312699546,2.320917393,-0.996459225,0.319027069
Xanthomonas_OG0000094,NA,NA,NA,NA
Xanthomonas_OG0000095,-0.042728438,2.332928411,-0.018315366,0.985387269
Xanthomonas_OG0000096,-0.571322376,0.724912326,-0.788126171,0.430622908
Xanthomonas_OG0000097,-0.701907516,0.603888559,-1.16231299,0.245108352
Xanthomonas_OG0000098,0.454172505,1.909102976,0.23789838,0.811959912
Xanthomonas_OG0000099,-0.451300679,0.715275014,-0.630947076,0.528075129
Xanthomonas_OG0000100,-0.027339641,0.815814421,-0.033512083,0.97326623
Xanthomonas_OG0000101,-0.282703886,0.564754298,-0.500578547,0.616667764
Xanthomonas_OG0000102,-1.221423171,0.74350929,-1.642781317,0.100428187
Xanthomonas_OG0000103,-0.08259094,0.433564938,-0.190492663,0.848923092
Xanthomonas_OG0000104,-2.312292829,2.320699167,-0.99637767,0.319066678
Xanthomonas_OG0000105,-1.50871235,0.413747333,-3.646458187,0.00026588
Xanthomonas_OG0000106,-2.312655343,2.320890349,-0.99645179,0.31903068
Xanthomonas_OG0000107,0.19496489,1.046243667,0.186347499,0.852172261
Xanthomonas_OG0000108,-0.601590695,0.738599739,-0.814501635,0.415357636
Xanthomonas_OG0000109,-0.88312328,0.940587711,-0.938905823,0.347779099
Xanthomonas_OG0000110,-1.315159617,0.674938814,-1.948561247,0.051347844
Xanthomonas_OG0000111,-1.200839221,0.531673853,-2.258601235,0.023908201
Xanthomonas_OG0000112,0.344482859,0.44101678,0.781110548,0.434737478
