orthogroup.id,Estimate,SE,z.value,p.value
Xanthomonas_OG0000000,-0.025912792,0.054129612,-0.478717494,0.632139619
Xanthomonas_OG0000001,-0.140783008,0.101912032,-1.381416947,0.167150798
Xanthomonas_OG0000002,-0.008236084,0.012382454,-0.665141547,0.505959963
Xanthomonas_OG0000003,-0.0078672,0.015084814,-0.52153112,0.601996833
Xanthomonas_OG0000004,0.009913165,0.009916659,0.99964764,0.31748106
Xanthomonas_OG0000005,-0.124865756,0.090936606,-1.373107711,0.169718864
Xanthomonas_OG0000006,-0.093993555,0.105643835,-0.889721156,0.373615632
Xanthomonas_OG0000007,0.011886108,0.016002881,0.742747964,0.457634285
Xanthomonas_OG0000008,-0.181045449,0.166184674,-1.08942326,0.275967279
Xanthomonas_OG0000009,-0.51154469,0.196721232,-2.600353229,0.009312785
Xanthomonas_OG0000010,-0.18455687,0.176110751,-1.047959136,0.294657435
Xanthomonas_OG0000011,-0.149530646,0.320689168,-0.466279066,0.641015761
Xanthomonas_OG0000012,-0.320815656,0.291373602,-1.101045715,0.270876761
Xanthomonas_OG0000013,-0.173336633,0.411624573,-0.421103706,0.673679355
Xanthomonas_OG0000014,0.423917224,0.388777441,1.090385345,0.275543435
Xanthomonas_OG0000015,-0.192010679,0.249667569,-0.769065358,0.441854512
Xanthomonas_OG0000016,0.285700723,0.19160457,1.49109556,0.135936408
Xanthomonas_OG0000017,0.054641312,0.069559191,0.785536915,0.432138835
Xanthomonas_OG0000018,0.003391644,0.122171683,0.027761295,0.977852536
Xanthomonas_OG0000019,0.103497093,0.172596417,0.599647982,0.548740862
Xanthomonas_OG0000020,-0.368321087,0.190129847,-1.937208144,0.052719905
Xanthomonas_OG0000021,-0.001063027,0.015780982,-0.067361249,0.946294118
Xanthomonas_OG0000022,-0.494616808,0.242267458,-2.041614719,0.041189764
Xanthomonas_OG0000023,0.016981704,0.065603331,0.258854301,0.795747659
Xanthomonas_OG0000024,0.010557851,0.011178147,0.944508136,0.344910046
Xanthomonas_OG0000025,0.040408428,0.024619923,1.64128979,0.100737274
Xanthomonas_OG0000026,0.019947512,0.085998217,0.231952624,0.816574811
Xanthomonas_OG0000027,-0.368625655,0.232224699,-1.587366274,0.112429713
Xanthomonas_OG0000028,-0.177550853,0.258373675,-0.687186311,0.491965329
Xanthomonas_OG0000029,-0.362831802,0.178913454,-2.02797383,0.042562919
Xanthomonas_OG0000030,0.021933444,0.102404267,0.214184867,0.830402897
Xanthomonas_OG0000031,-0.032264063,0.092703699,-0.34803426,0.727814455
Xanthomonas_OG0000032,0.046910935,0.05115778,0.91698534,0.359150322
Xanthomonas_OG0000033,-0.237310538,0.156821414,-1.513253404,0.130215304
Xanthomonas_OG0000034,-0.146661965,0.198022008,-0.740634671,0.45891498
Xanthomonas_OG0000035,-0.041700902,0.114488931,-0.364235232,0.71568236
Xanthomonas_OG0000036,0.630819645,0.535417328,1.178183096,0.23872362
Xanthomonas_OG0000037,-0.853750844,0.553457299,-1.54257762,0.122933292
Xanthomonas_OG0000038,-0.014815265,0.284365625,-0.052099351,0.95844953
