"genes","255531","255527","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p","Empirical_p"
"Xanthomonas_OG0002949","0","0","0","46","152","0","0.0","0.0","0.0","3.641481190311916e-46","6.905340781188486e-42","2.301780260396162e-42","11","0","11","0.0009765625","0.0009765625","0.000999000999000999"
"Xanthomonas_OG0003339","0","0","0","46","152","0","0.0","0.0","0.0","3.641481190311916e-46","6.905340781188486e-42","2.301780260396162e-42","11","0","11","0.0009765625","0.0009765625","0.000999000999000999"
"Xanthomonas_OG0003387","0","0","0","46","152","0","0.0","0.0","0.0","3.641481190311916e-46","6.905340781188486e-42","2.301780260396162e-42","11","0","11","0.0009765625","0.0009765625","0.000999000999000999"
"Xanthomonas_OG0003512","0","0","1","46","151","0","0.6578947368421052","0.0","0.0","1.7114961594466003e-44","3.245510167158588e-40","2.7045918059654903e-41","11","0","11","0.0009765625","0.0009765625","0.000999000999000999"
"Xanthomonas_OG0003522","0","0","1","46","151","0","0.6578947368421052","0.0","0.0","1.7114961594466003e-44","3.245510167158588e-40","2.7045918059654903e-41","11","0","11","0.0009765625","0.0009765625","0.000999000999000999"
"Xanthomonas_OG0003523","0","0","1","46","151","0","0.6578947368421052","0.0","0.0","1.7114961594466003e-44","3.245510167158588e-40","2.7045918059654903e-41","11","0","11","0.0009765625","0.0009765625","0.000999000999000999"
"Xanthomonas_OG0003524","0","0","1","46","151","0","0.6578947368421052","0.0","0.0","1.7114961594466003e-44","3.245510167158588e-40","2.7045918059654903e-41","11","0","11","0.0009765625","0.0009765625","0.000999000999000999"
"Xanthomonas_OG0003525","0","0","1","46","151","0","0.6578947368421052","0.0","0.0","1.7114961594466003e-44","3.245510167158588e-40","2.7045918059654903e-41","11","0","11","0.0009765625","0.0009765625","0.000999000999000999"
"Xanthomonas_OG0003526","0","0","1","46","151","0","0.6578947368421052","0.0","0.0","1.7114961594466003e-44","3.245510167158588e-40","2.7045918059654903e-41","11","0","11","0.0009765625","0.0009765625","0.000999000999000999"
"Xanthomonas_OG0003527","0","0","1","46","151","0","0.6578947368421052","0.0","0.0","1.7114961594466003e-44","3.245510167158588e-40","2.7045918059654903e-41","11","0","11","0.0009765625","0.0009765625","0.000999000999000999"
"Xanthomonas_OG0003528","0","0","1","46","151","0","0.6578947368421052","0.0","0.0","1.7114961594466003e-44","3.245510167158588e-40","2.7045918059654903e-41","11","0","11","0.0009765625","0.0009765625","0.000999000999000999"
"Xanthomonas_OG0003529","0","0","1","46","151","0","0.6578947368421052","0.0","0.0","1.7114961594466003e-44","3.245510167158588e-40","2.7045918059654903e-41","11","0","11","0.0009765625","0.0009765625","0.000999000999000999"
"Xanthomonas_OG0003950","0","0","0","45","152","1","0.0","2.1739130434782608","0.0","5.571466221177229e-44","1.0565171395218379e-39","8.127054919398753e-41","10","0","10","0.001953125","0.001953125","0.001998001998001998"
"Xanthomonas_OG0003511","0","0","2","46","150","0","1.3157894736842104","0.0","0.0","4.10759078267184e-43","7.78922440118061e-39","4.868265250737881e-40","11","0","11","0.0009765625","0.0009765625","0.000999000999000999"
"Xanthomonas_OG0003513","0","0","2","46","150","0","1.3157894736842104","0.0","0.0","4.10759078267184e-43","7.78922440118061e-39","4.868265250737881e-40","11","0","11","0.0009765625","0.0009765625","0.000999000999000999"
"Xanthomonas_OG0003514","0","0","2","46","150","0","1.3157894736842104","0.0","0.0","4.10759078267184e-43","7.78922440118061e-39","4.868265250737881e-40","11","0","11","0.0009765625","0.0009765625","0.000999000999000999"
"Xanthomonas_OG0003587","0","0","1","45","151","1","0.6578947368421052","2.1739130434782608","0.00014716703458425313","2.5464877963851227e-42","4.828904808285108e-38","2.6827248934917265e-39","11","1","10","0.01171875","0.01171875","0.000999000999000999"
"Xanthomonas_OG0003909","0","0","1","45","151","1","0.6578947368421052","2.1739130434782608","0.00014716703458425313","2.5464877963851227e-42","4.828904808285108e-38","2.6827248934917265e-39","11","1","10","0.01171875","0.01171875","0.000999000999000999"
