"genes","255615","255576","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p","Empirical_p"
"Xanthomonas_OG0003321","1","0","4","132","42","7","8.695652173913043","5.0359712230215825","0.005050505050505051","1.5105363435110143e-29","2.6425322793381686e-25","2.6425322793381686e-25","4","2","2","1.0","1.0","0.9375"
"Xanthomonas_OG0003878","1","1","43","11","3","128","93.47826086956522","92.08633093525181","166.78787878787878","4.524646027093375e-28","7.91541575979715e-24","3.043248133608502e-24","7","5","3","0.453125","1.0","0.08691308691308691"
"Xanthomonas_OG0003861","0","0","0","119","46","20","0.0","14.388489208633093","0.0","5.218786098562654e-28","9.129744400825507e-24","3.043248133608502e-24","7","0","7","0.015625","0.015625","0.002997002997002997"
"Xanthomonas_OG0003771","1","1","42","10","4","129","91.30434782608695","92.80575539568345","135.45","2.5476327245120293e-27","4.456828688261344e-23","1.114207172065336e-23","6","4","2","0.6875","0.6875","0.3125"
"Xanthomonas_OG0003462","0","0","2","124","44","15","4.3478260869565215","10.79136690647482","0.005498533724340176","4.053969412330424e-27","7.092014089930844e-23","1.4184028179861688e-23","7","1","6","0.125","0.125","0.04295704295704296"
"Xanthomonas_OG0003971","0","1","40","7","6","132","86.95652173913044","94.96402877697841","125.71428571428571","6.989205187168823e-27","1.222691555443314e-22","1.746702222061877e-23","3","2","1","1.0","1.0","0.90625"
"Xanthomonas_OG0004215","0","1","40","7","6","132","86.95652173913044","94.96402877697841","125.71428571428571","6.989205187168823e-27","1.222691555443314e-22","1.746702222061877e-23","2","2","1","0.5","1.0","0.65625"
"Xanthomonas_OG0003895","1","1","41","9","5","130","89.13043478260869","93.5251798561151","118.44444444444444","1.1240463875855634e-26","1.9664067504421847e-22","2.4580084380527308e-23","5","3","2","1.0","1.0","0.875"
"Xanthomonas_OG0003961","0","1","40","8","6","131","86.95652173913044","94.24460431654677","109.16666666666667","4.015899240978717e-26","7.025414132168168e-22","7.663452118268681e-23","2","1","1","1.0","1.0","0.96875"
"Xanthomonas_OG0003858","0","0","1","119","45","20","2.1739130434782608","14.388489208633093","0.003734827264239029","4.3806174221268324e-26","7.6634521182686805e-22","7.663452118268681e-23","7","1","6","0.125","0.125","0.016983016983016984"
"Xanthomonas_OG0003891","1","1","41","10","5","129","89.13043478260869","92.80575539568345","105.78","5.52574356228434e-26","9.666735787860226e-22","8.787941625327478e-23","4","3","2","0.625","1.0","0.5625"
"Xanthomonas_OG0003648","1","1","45","22","1","117","97.82608695652173","84.17266187050359","239.3181818181818","4.124761350411584e-25","7.215857506410025e-21","5.154183933150017e-22","4","3","1","0.625","0.625","0.054945054945054944"
"Xanthomonas_OG0003655","1","1","45","22","1","117","97.82608695652173","84.17266187050359","239.3181818181818","4.124761350411584e-25","7.215857506410025e-21","5.154183933150017e-22","4","3","1","0.625","0.625","0.04795204795204795"
"Xanthomonas_OG0003661","1","1","45","22","1","117","97.82608695652173","84.17266187050359","239.3181818181818","4.124761350411584e-25","7.215857506410025e-21","5.154183933150017e-22","4","3","1","0.625","0.625","0.04495504495504495"
"Xanthomonas_OG0003918","1","1","43","17","3","122","93.47826086956522","87.76978417266187","102.86274509803921","1.5941587347707798e-24","2.788821290608002e-20","1.640483112122354e-21","5","4","3","0.375","1.0","0.18"
"Xanthomonas_OG0003922","1","1","43","17","3","122","93.47826086956522","87.76978417266187","102.86274509803921","1.5941587347707798e-24","2.788821290608002e-20","1.640483112122354e-21","5","4","3","0.375","1.0","0.21212121212121213"
"Xanthomonas_OG0003932","1","1","43","17","3","122","93.47826086956522","87.76978417266187","102.86274509803921","1.5941587347707798e-24","2.788821290608002e-20","1.640483112122354e-21","5","4","3","0.375","1.0","0.18181818181818182"
"Xanthomonas_OG0003711","1","1","43","18","3","121","93.47826086956522","87.05035971223022","96.35185185185185","5.276131805010453e-24","9.230064979685286e-20","5.127813877602936e-21","5","3","3","1.0","1.0","0.5625"
"Xanthomonas_OG0003780","0","0","2","118","44","21","4.3478260869565215","15.107913669064748","0.008089368258859784","5.608929895688532e-24","9.812261959517518e-20","5.164348399746062e-21","7","1","6","0.125","0.125","0.000999000999000999"
"Xanthomonas_OG0003604","0","0","1","114","45","25","2.1739130434782608","17.985611510791365","0.004873294346978557","9.573760303541544e-24","1.6748336275015577e-19","7.975398226197894e-21","7","1","7","0.015625","0.125","0.000999000999000999"
