"","x"
"1","Xanthomonas_OG0000227"
"2","Xanthomonas_OG0000242"
"3","Xanthomonas_OG0003066"
"4","Xanthomonas_OG0003170"
"5","Xanthomonas_OG0003220"
"6","Xanthomonas_OG0003251"
"7","Xanthomonas_OG0003256"
"8","Xanthomonas_OG0003282"
"9","Xanthomonas_OG0003309"
"10","Xanthomonas_OG0003311"
"11","Xanthomonas_OG0003313"
"12","Xanthomonas_OG0003315"
"13","Xanthomonas_OG0003327"
"14","Xanthomonas_OG0003349"
"15","Xanthomonas_OG0003368"
"16","Xanthomonas_OG0003394"
"17","Xanthomonas_OG0003415"
"18","Xanthomonas_OG0003436"
"19","Xanthomonas_OG0003464"
"20","Xanthomonas_OG0003465"
"21","Xanthomonas_OG0003488"
"22","Xanthomonas_OG0003489"
"23","Xanthomonas_OG0003493"
"24","Xanthomonas_OG0003501"
"25","Xanthomonas_OG0003503"
"26","Xanthomonas_OG0003504"
"27","Xanthomonas_OG0003531"
"28","Xanthomonas_OG0003535"
"29","Xanthomonas_OG0003548"
"30","Xanthomonas_OG0003550"
"31","Xanthomonas_OG0003564"
"32","Xanthomonas_OG0003565"
"33","Xanthomonas_OG0003570"
"34","Xanthomonas_OG0003600"
"35","Xanthomonas_OG0003655"
"36","Xanthomonas_OG0003661"
"37","Xanthomonas_OG0003662"
"38","Xanthomonas_OG0003685"
"39","Xanthomonas_OG0003686"
"40","Xanthomonas_OG0003697"
"41","Xanthomonas_OG0003704"
"42","Xanthomonas_OG0003709"
"43","Xanthomonas_OG0003721"
"44","Xanthomonas_OG0003745"
"45","Xanthomonas_OG0003750"
"46","Xanthomonas_OG0003752"
"47","Xanthomonas_OG0003765"
"48","Xanthomonas_OG0003797"
"49","Xanthomonas_OG0003871"
"50","Xanthomonas_OG0003886"
"51","Xanthomonas_OG0003893"
"52","Xanthomonas_OG0003894"
"53","Xanthomonas_OG0003929"
"54","Xanthomonas_OG0003945"
"55","Xanthomonas_OG0003974"
"56","Xanthomonas_OG0003978"
"57","Xanthomonas_OG0003985"
"58","Xanthomonas_OG0004009"
"59","Xanthomonas_OG0004011"
"60","Xanthomonas_OG0004013"
"61","Xanthomonas_OG0004017"
"62","Xanthomonas_OG0004025"
"63","Xanthomonas_OG0004034"
"64","Xanthomonas_OG0004045"
"65","Xanthomonas_OG0004050"
"66","Xanthomonas_OG0004056"
"67","Xanthomonas_OG0004088"
"68","Xanthomonas_OG0004113"
"69","Xanthomonas_OG0004114"
"70","Xanthomonas_OG0004115"
"71","Xanthomonas_OG0004128"
"72","Xanthomonas_OG0004132"
"73","Xanthomonas_OG0004161"
"74","Xanthomonas_OG0004167"
"75","Xanthomonas_OG0004265"
"76","Xanthomonas_OG0004279"
"77","Xanthomonas_OG0004286"
"78","Xanthomonas_OG0004324"
"79","Xanthomonas_OG0004342"
"80","Xanthomonas_OG0004378"
"81","Xanthomonas_OG0004403"
"82","Xanthomonas_OG0004451"
"83","Xanthomonas_OG0004554"
"84","Xanthomonas_OG0004614"
"85","Xanthomonas_OG0004624"
"86","Xanthomonas_OG0004664"
"87","Xanthomonas_OG0004936"
"88","Xanthomonas_OG0005020"
"89","Xanthomonas_OG0005023"
"90","Xanthomonas_OG0005044"
"91","Xanthomonas_OG0005045"
"92","Xanthomonas_OG0005114"
"93","Xanthomonas_OG0005166"
"94","Xanthomonas_OG0005283"
"95","Xanthomonas_OG0005289"
"96","Xanthomonas_OG0005290"
"97","Xanthomonas_OG0005305"
"98","Xanthomonas_OG0005352"
"99","Xanthomonas_OG0005427"
"100","Xanthomonas_OG0005431"
"101","Xanthomonas_OG0005439"
"102","Xanthomonas_OG0005443"
"103","Xanthomonas_OG0005472"
"104","Xanthomonas_OG0005515"
"105","Xanthomonas_OG0005587"
"106","Xanthomonas_OG0005696"
"107","Xanthomonas_OG0005698"
"108","Xanthomonas_OG0005701"
"109","Xanthomonas_OG0005710"
"110","Xanthomonas_OG0005715"
"111","Xanthomonas_OG0005769"
"112","Xanthomonas_OG0005770"
"113","Xanthomonas_OG0005793"
"114","Xanthomonas_OG0005794"
"115","Xanthomonas_OG0005848"
"116","Xanthomonas_OG0005876"
"117","Xanthomonas_OG0005882"
"118","Xanthomonas_OG0005895"
"119","Xanthomonas_OG0005934"
"120","Xanthomonas_OG0005935"
"121","Xanthomonas_OG0006006"
"122","Xanthomonas_OG0006012"
"123","Xanthomonas_OG0006013"
"124","Xanthomonas_OG0006025"
"125","Xanthomonas_OG0006041"
"126","Xanthomonas_OG0006057"
"127","Xanthomonas_OG0006102"
"128","Xanthomonas_OG0006138"
"129","Xanthomonas_OG0006150"
"130","Xanthomonas_OG0006196"
"131","Xanthomonas_OG0006199"
"132","Xanthomonas_OG0006201"
"133","Xanthomonas_OG0006226"
"134","Xanthomonas_OG0006296"
"135","Xanthomonas_OG0006297"
"136","Xanthomonas_OG0006298"
"137","Xanthomonas_OG0006371"
"138","Xanthomonas_OG0006372"
"139","Xanthomonas_OG0006383"
"140","Xanthomonas_OG0006396"
"141","Xanthomonas_OG0006410"
"142","Xanthomonas_OG0006445"
"143","Xanthomonas_OG0006450"
"144","Xanthomonas_OG0006503"
"145","Xanthomonas_OG0006534"
"146","Xanthomonas_OG0006546"
"147","Xanthomonas_OG0006558"
"148","Xanthomonas_OG0006573"
"149","Xanthomonas_OG0006673"
"150","Xanthomonas_OG0006675"
"151","Xanthomonas_OG0006697"
"152","Xanthomonas_OG0006715"
"153","Xanthomonas_OG0006817"
"154","Xanthomonas_OG0006842"
"155","Xanthomonas_OG0006850"
"156","Xanthomonas_OG0006852"
"157","Xanthomonas_OG0006934"
"158","Xanthomonas_OG0007085"
"159","Xanthomonas_OG0007169"
"160","Xanthomonas_OG0007335"
"161","Xanthomonas_OG0007388"
"162","Xanthomonas_OG0007389"
"163","Xanthomonas_OG0007427"
"164","Xanthomonas_OG0007609"
"165","Xanthomonas_OG0007684"
"166","Xanthomonas_OG0007919"
"167","Xanthomonas_OG0007920"
"168","Xanthomonas_OG0008010"
"169","Xanthomonas_OG0008132"
"170","Xanthomonas_OG0008134"
"171","Xanthomonas_OG0008204"
"172","Xanthomonas_OG0008358"
"173","Xanthomonas_OG0008428"
"174","Xanthomonas_OG0008519"
"175","Xanthomonas_OG0008603"
"176","Xanthomonas_OG0008711"
"177","Xanthomonas_OG0008909"
"178","Xanthomonas_OG0009189"
"179","Xanthomonas_OG0009592"
"180","Xanthomonas_OG0009830"
"181","Xanthomonas_OG0009848"
"182","Xanthomonas_OG0009849"
"183","Xanthomonas_OG0010276"
"184","Xanthomonas_OG0010280"
"185","Xanthomonas_OG0010281"
"186","Xanthomonas_OG0010282"
"187","Xanthomonas_OG0010354"
"188","Xanthomonas_OG0010622"
"189","Xanthomonas_OG0010637"
"190","Xanthomonas_OG0010638"
"191","Xanthomonas_OG0011099"
