orthogroup_id,rep_seq_id
OG0000007,01_17710
OG0000021,01_01060
OG0000023,01_16330
OG0000024,01_16320
OG0000025,1311A_24990
OG0000138,1311A_27420
OG0000259,1311A_19500
OG0002632,1311A_40070
OG0003124,1311A_37930
OG0003340,18048_03870
OG0003347,1311A_17010
OG0003427,1311A_18490
OG0003445,1311A_28570
OG0003452,1311A_06670
OG0003462,1311A_26800
OG0003508,1311A_39140
OG0003510,17_28210
OG0003537,17_21410
OG0003552,1311A_21020
OG0003553,18048_36730
OG0003567,18048_08660
OG0003586,1311A_00730
OG0003590,18048_08360
OG0003598,01_36560
OG0003603,01_22200
OG0003604,01_27900
OG0003627,17_00160
OG0003629,1311A_00680
OG0003640,17_23420
OG0003687,1314C_28750
OG0003702,01_27640
OG0003716,01_35830
OG0003717,1311A_01200
OG0003736,17_28000
OG0003754,2949_24940
OG0003758,17_31200
OG0003759,1311A_37870
OG0003780,85-10_25750
OG0003791,85-10_42010
OG0003793,18048_26670
OG0003795,A7_21970
OG0003818,85-10_37100
OG0003835,2974_09920
OG0003844,01_34500
OG0003858,01_13540
OG0003861,3307_35520
OG0003866,18048_31960
OG0003897,2768_19110
OG0003906,1314C_01320
OG0003959,2768_24170
OG0003964,1311A_05390
OG0004020,17_28070
OG0004038,2949_11940
OG0004042,18048_12280
OG0004053,71_38170
OG0004063,17_10680
OG0004065,01_13570
OG0004069,18048_11810
OG0004078,3307_12690
OG0004081,01_11940
OG0004082,01_26410
OG0004083,01_27960
OG0004085,17_05120
OG0004090,18048_07370
OG0004092,2957_16530
OG0004095,8590_30550
OG0004119,2768_03740
OG0004139,3376_06280
OG0004143,01_17020
OG0004177,01_17490
OG0004181,17_05390
OG0004182,17_32820
OG0004190,2768_03500
OG0004191,3058_17030
OG0004192,3075_38480
OG0004194,01_08890
OG0004201,18048_05670
OG0004206,2949_30920
OG0004212,01_12060
OG0004219,17_10250
OG0004221,3307_03160
OG0004222,3307_37470
OG0004224,84A_03310
OG0004229,01_10780
OG0004236,01_20340
OG0004237,01_21170
OG0004244,01_29530
OG0004248,17_10120
OG0004254,2957_16030
OG0004261,01_17000
OG0004267,01_34190
OG0004271,1314C_01560
OG0004272,17_10710
OG0004274,18048_05640
OG0004275,18048_21840
OG0004280,85-10_45300
OG0004285,01_11170
OG0004291,01_21150
OG0004295,01_38980
OG0004300,3307_15850
OG0004301,85-10_24490
OG0004318,18048_27830
OG0004325,3046_33140
OG0004328,71_37030
OG0004336,01_27140
OG0004346,18048_38120
OG0004373,2949_38910
OG0004389,01_29400
OG0004393,01_32050
OG0004410,85-10_23140
OG0004417,01_15520
OG0004419,01_32780
OG0004428,3307_18680
OG0004453,8590_17500
OG0004462,01_23810
OG0004474,85-10_21780
OG0004476,ATCC23378_33950
OG0004527,8590_32650
OG0004562,18048_42230
OG0004564,2955_11460
OG0004565,2955_11470
OG0004568,3004_11720
OG0004570,3307_24360
OG0004583,01_28060
OG0004594,2957_08650
OG0004595,3140_02550
OG0004596,3140_04510
OG0004607,01_18060
OG0004631,01_36160
OG0004634,2949_24510
OG0004658,3046_22480
OG0004701,85-10_06730
OG0004713,01_18460
OG0004749,BRIP62409_24080
OG0004778,18048_17330
OG0004780,2949_38500
OG0004798,3307_36020
OG0004811,01_29190
OG0004867,3307_10530
OG0004868,3307_10950
OG0004872,3307_13910
OG0004879,3307_14220
OG0004880,3307_14230
OG0004881,3307_14280
OG0004913,18048_13860
OG0004914,18048_41060
OG0004921,3058_36360
OG0004927,3307_24830
OG0004952,AmX2_20300
OG0004971,AR81009_37020
OG0004972,AmX2_32430
OG0004994,2949_03710
OG0004996,2974_28410
OG0005031,1311A_39970
OG0005041,3140_04520
OG0005043,3307_06880
OG0005056,A2111_04140
OG0005058,A2111_18430
OG0005061,AR81009_37040
OG0005062,ATCC23378_19130
OG0005067,ATCC23378_30080
OG0005084,2974_28390
OG0005094,3307_17200
OG0005095,3307_17210
OG0005096,3307_19700
OG0005127,01_18640
OG0005129,01_39450
OG0005131,18048_22550
OG0005132,18048_32160
OG0005154,3640_33260
OG0005181,1311A_21100
OG0005184,1314C_37210
OG0005187,2768_03680
OG0005188,2768_03870
OG0005189,2768_26980
OG0005190,2949_21310
OG0005191,2974_28400
OG0005192,3004_20460
