"","orthogroup.id","Estimate","SE","z.value","p.value","COG_category","Description","Preferred_name","KEGG_ko","CAZy","PFAMs","rep_seq_id"
"1","OG0005396",-4.269964277,1.622981349,-2.630938599,0.008514942,"U","haemagglutination activity domain","-","-","-","ESPR,Glug,Haemagg_act,Peptidase_M26_N","18048_02360"
"2","OG0002701",-4.026268455,1.391182623,-2.894133658,0.003802063,"O","Part of a stress-induced multi-chaperone system, it is involved in the recovery of the cell from heat-induced damage, in cooperation with DnaK, DnaJ and GrpE","clpB","ko:K03695","-","AAA,AAA_2,ClpB_D2-small,Clp_N","01_30330"
"3","OG0005563",-3.783987824,1.447819861,-2.613576403,0.008960005,"S","Predicted membrane protein (DUF2214)","-","ko:K08983","-","DUF2214","BRIP62418_21790"
"4","OG0002732",-3.714497441,1.088304318,-3.413105488,0.000642271,"M","cell shape determination","-","-","-","Bactofilin","1311A_22040"
"5","OG0005180",-3.277042279,1.055741034,-3.104020942,0.001909098,"-","-","-","-","-","-","01_34320"
"6","OG0005743",-3.186360944,1.19834921,-2.658958605,0.007838259,"S","Domain of unknown function (DUF1963)","-","-","-","DUF1963","01_02810"
"7","OG0006488",-3.162285363,1.224412457,-2.582696171,0.009803161,"U","biopolymer transport protein","exbD","ko:K03559","-","ExbD","84A_25460"
"8","OG0004924",-3.00492134,0.905867951,-3.317173697,0.000909331,"S","ATPase family associated with various cellular activities (AAA)","-","-","-","AAA_5","3307_10540"
"9","OG0005053",-2.995447194,0.912796283,-3.281616338,0.001032139,"S","Peptidase inhibitor I78 family","-","-","-","Inhibitor_I78","3640_34390"
"10","OG0005959",-2.991183558,1.142631771,-2.617801845,0.008849818,"C","40-residue YVTN family beta-propeller repeat","-","-","-","Lactonase","17_22120"
"11","OG0006274",-2.977684203,1.050399227,-2.834811875,0.004585268,"C","Zinc-binding dehydrogenase","qor","-","-","ADH_N,ADH_zinc_N,ADH_zinc_N_2","CFBP8700_39720"
"12","OG0005000",-2.958232936,0.918558808,-3.220515563,0.001279602,"S","zinc ion binding","CP_1020","-","-","Helicase_C,SNF2_N,SNF2_assoc,SWIM","3058_41670"
