orthogroup_id,rep_seq_id
OG0000004,01_11540
OG0000007,01_17710
OG0000021,01_01060
OG0000024,01_16320
OG0000103,01_39920
OG0000118,1311A_00880
OG0000121,01_13140
OG0000138,1311A_27420
OG0000207,1311A_25070
OG0000237,01_20290
OG0000259,1311A_19500
OG0000330,01_16250
OG0002236,01_13770
OG0002918,1311A_14240
OG0002949,1311A_09170
OG0003323,01_31690
OG0003339,01_28440
OG0003340,18048_03870
OG0003355,1311A_26490
OG0003356,01_30180
OG0003382,01_02500
OG0003387,01_23490
OG0003395,01_29510
OG0003448,18048_37090
OG0003452,1311A_06670
OG0003458,1311A_02000
OG0003462,1311A_26800
OG0003475,01_04280
OG0003482,01_06350
OG0003483,1311A_13360
OG0003484,17_21090
OG0003485,18048_12210
OG0003494,18048_06590
OG0003497,01_32900
OG0003506,01_21360
OG0003510,17_28210
OG0003511,18048_03880
OG0003512,18048_05740
OG0003514,01_13690
OG0003515,01_26010
OG0003516,1311A_20960
OG0003518,3058_35020
OG0003519,01_21280
OG0003522,1314C_01110
OG0003523,18048_05730
OG0003524,3058_14840
OG0003525,01_21220
OG0003526,01_21270
OG0003527,01_26440
OG0003528,1311A_06430
OG0003529,17_01230
OG0003536,1311A_32200
OG0003538,01_25560
OG0003541,1311A_20780
OG0003542,1311A_26860
OG0003546,1311A_03400
OG0003549,1311A_36950
OG0003554,01_34390
OG0003560,17_26170
OG0003567,18048_08660
OG0003581,1311A_20690
OG0003583,18048_08350
OG0003587,1311A_20650
OG0003589,1311A_32000
OG0003590,18048_08360
OG0003599,1311A_11270
OG0003603,01_22200
OG0003604,01_27900
OG0003629,1311A_00680
OG0003631,1311A_27850
OG0003632,17_23370
OG0003635,17_27930
OG0003638,17_20860
OG0003640,17_23420
OG0003645,1311A_34040
OG0003652,17_28010
OG0003659,1314C_32280
OG0003668,17_28110
OG0003671,18048_31530
OG0003674,01_34170
OG0003680,1314C_28770
OG0003687,1314C_28750
OG0003698,17_27980
OG0003714,01_32020
OG0003716,01_35830
OG0003736,17_28000
OG0003740,18048_19750
OG0003746,01_28350
OG0003753,18048_05700
OG0003754,2949_24940
OG0003762,1311A_39860
OG0003769,1311A_33440
OG0003772,2949_24930
OG0003780,85-10_25750
OG0003783,1311A_39790
OG0003784,85-10_42130
OG0003790,18048_28750
OG0003793,18048_26670
OG0003795,A7_21970
OG0003798,01_05320
OG0003799,1311A_01140
OG0003802,18048_34730
OG0003805,17_00190
OG0003806,18048_04690
OG0003818,85-10_37100
OG0003821,1311A_05380
OG0003822,18048_21800
OG0003829,2949_32860
OG0003830,3307_25280
OG0003831,01_17280
OG0003832,01_22600
OG0003833,17_10300
OG0003835,2974_09920
OG0003840,2768_34650
OG0003841,3307_35540
OG0003842,A7_00180
OG0003843,01_00250
OG0003850,2949_32810
OG0003852,01_09900
OG0003858,01_13540
OG0003861,3307_35520
OG0003866,18048_31960
OG0003869,01_03980
OG0003873,71_39840
OG0003875,85-10_22050
OG0003880,18048_33780
OG0003881,2949_03260
OG0003888,18048_02010
OG0003892,1311A_11510
OG0003897,2768_19110
OG0003898,3498_14890
OG0003904,01_13180
OG0003906,1314C_01320
OG0003909,01_34550
OG0003924,3307_22330
OG0003943,01_26560
OG0003946,18048_21630
OG0003948,3058_27620
OG0003950,18048_05690
OG0003954,01_36410
OG0003955,1311A_15410
OG0003958,18048_39100
OG0003968,17_23050
OG0003976,1311A_01530
OG0004012,3058_39790
OG0004015,17_40320
OG0004032,8590_30490
OG0004038,2949_11940
OG0004042,18048_12280
OG0004047,8590_30540
OG0004065,01_13570
OG0004069,18048_11810
OG0004078,3307_12690
OG0004083,01_27960
OG0004085,17_05120
OG0004087,17_12950
OG0004089,18048_06340
OG0004105,3058_17070
OG0004111,1311A_21190
OG0004119,2768_03740
OG0004135,18048_36650
OG0004144,01_17240
OG0004160,71_06580
OG0004168,01_02090
OG0004182,17_32820
OG0004192,3075_38480
OG0004194,01_08890
OG0004201,18048_05670
OG0004209,3307_18520
OG0004212,01_12060
OG0004213,01_12580
OG0004220,3058_15870
OG0004221,3307_03160
OG0004222,3307_37470
OG0004229,01_10780
OG0004233,01_15290
OG0004236,01_20340
OG0004237,01_21170
OG0004248,17_10120
OG0004251,2768_03580
OG0004252,2768_03590
OG0004254,2957_16030
OG0004255,85-10_04600
OG0004257,01_02000
OG0004263,01_24910
OG0004276,18048_30240
OG0004277,18048_38110
OG0004285,01_11170
OG0004289,01_16920
OG0004290,01_20220
OG0004291,01_21150
OG0004297,18048_32210
OG0004307,01_14160
OG0004318,18048_27830
OG0004325,3046_33140
OG0004341,1314C_11740
OG0004346,18048_38120
OG0004350,3140_00600
OG0004353,01_01050
OG0004357,01_12660
OG0004373,2949_38910
OG0004374,2957_41890
OG0004381,01_03380
OG0004389,01_29400
OG0004399,1314C_06360
OG0004400,17_02750
OG0004416,01_06800
OG0004417,01_15520
OG0004419,01_32780
OG0004420,01_34360
OG0004423,1314C_06990
OG0004428,3307_18680
OG0004429,84A_27380
OG0004430,AR81009_47080
OG0004436,01_17220
OG0004441,01_29450
OG0004446,18048_28560
OG0004448,2974_28330
OG0004461,01_22220
OG0004462,01_23810
OG0004476,ATCC23378_33950
OG0004481,01_17600
OG0004486,01_39860
OG0004491,2768_26840
OG0004527,8590_32650
OG0004533,01_17270
OG0004556,01_18290
OG0004558,1311A_15310
OG0004560,17_10260
OG0004562,18048_42230
OG0004565,2955_11470
OG0004566,2955_31570
OG0004568,3004_11720
OG0004583,01_28060
OG0004584,1311A_01460
OG0004589,18048_28570
OG0004595,3140_02550
OG0004596,3140_04510
OG0004607,01_18060
OG0004613,3307_13870
OG0004631,01_36160
OG0004633,2949_12020
OG0004634,2949_24510
OG0004636,2957_08740
OG0004644,85-10_46780
OG0004645,A7_14260
OG0004646,AR81009_37060
OG0004650,BRIP62409_24120
OG0004658,3046_22480
OG0004668,01_04220
OG0004677,01_36220
OG0004678,1311A_01550
OG0004682,2957_08640
OG0004701,85-10_06730
OG0004719,17_38820
OG0004720,2768_03600
OG0004757,17_38800
OG0004771,BRIP62409_23940
OG0004778,18048_17330
OG0004780,2949_38500
OG0004788,3307_13810
OG0004789,3307_13820
OG0004790,3307_13900
OG0004811,01_29190
OG0004812,01_29200
OG0004814,01_29840
OG0004818,18048_42060
OG0004819,2949_21320
OG0004820,3046_01230
OG0004821,3058_00040
OG0004822,3058_13580
OG0004849,BRIP62409_23960
OG0004850,BRIP62409_24090
OG0004851,CFBP4643_30850
OG0004852,01_29170
OG0004864,3046_37410
OG0004868,3307_10950
OG0004879,3307_14220
OG0004880,3307_14230
OG0004881,3307_14280
OG0004885,3307_28850
OG0004888,3307_36000
OG0004890,3307_36040
OG0004891,3307_39950
OG0004892,3376_18380
OG0004893,3376_33240
OG0004894,71_07480
OG0004895,84A_30110
OG0004896,84A_30330
OG0004897,85-10_01300
OG0004898,85-10_45050
OG0004921,3058_36360
OG0004928,3307_30740
OG0004929,3307_39580
OG0004930,3307_40270
OG0004931,3498_08980
OG0004960,17_34490
OG0004961,18048_05440
OG0004962,18048_22560
OG0004963,2768_34600
OG0004964,3307_02650
OG0004972,AmX2_32430
OG0004994,2949_03710
OG0004996,2974_28410
OG0005031,1311A_39970
OG0005032,17_09580
OG0005038,2949_09080
OG0005041,3140_04520
OG0005056,A2111_04140
OG0005063,ATCC23378_29990
OG0005064,ATCC23378_30040
OG0005065,ATCC23378_30050
OG0005067,ATCC23378_30080
OG0005069,ATCC23378_39850
OG0005070,B99_03660
OG0005071,BA29-1_39240
OG0005077,01_36210
OG0005086,3046_18240
OG0005093,3307_10140
OG0005095,3307_17210
OG0005096,3307_19700
OG0005103,3307_33520
OG0005112,85-10_21810
OG0005126,01_18630
OG0005127,01_18640
OG0005129,01_39450
OG0005130,1311A_15350
OG0005131,18048_22550
OG0005132,18048_32160
OG0005133,2768_27010
OG0005155,85-10_24740
OG0005169,CFBP1022_38770
OG0005184,1314C_37210
OG0005186,17_21980
OG0005190,2949_21310
OG0005191,2974_28400
OG0005192,3004_20460
OG0005198,3307_03320
OG0005199,3307_05230
OG0005200,3307_25260
OG0005203,3307_35970
OG0005211,A1809_00400
OG0005233,01_27250
OG0005244,3058_02080
OG0005245,3058_08360
OG0005249,3307_09160
OG0005252,3307_28710
OG0005281,01_27190
OG0005282,01_29740
OG0005292,2955_11180
OG0005296,3058_34710
OG0005297,3307_01170
OG0005298,3307_06820
OG0005316,CFBP4925_20930
OG0005335,2974_10020
OG0005336,2974_10970
OG0005337,3046_00780
OG0005341,3058_34690
OG0005344,3075_10830
OG0005345,3075_10870
OG0005359,A1809_00300
OG0005361,A2111_26450
OG0005362,A2111_29360
OG0005369,AmX2_37110
OG0005390,1311A_21080
OG0005391,17_05480
OG0005395,17_39160
OG0005401,2949_26330
OG0005406,3046_03600
OG0005419,A2111_06780
OG0005479,AmX2_22820
OG0005488,CCUG18839_44230
OG0005494,CFBP4643_22330
OG0005505,1311A_03450
OG0005525,3498_24800
OG0005571,CFBP1976_05290
OG0005575,CFBP4643_36690
OG0005591,18048_02830
OG0005610,71_09880
OG0005616,8590_28580
OG0005623,AmX2_08320
OG0005624,AmX2_21420
OG0005631,BB151-3_22220
OG0005654,17_08520
OG0005674,71_00960
OG0005675,71_26650
OG0005681,8590_28110
OG0005686,A2111_17810
OG0005693,AR81009_46440
OG0005703,AmX2_32460
OG0005704,AmX2_32490
OG0005705,AmX2_37540
OG0005736,D-109_12020
OG0005747,01_14030
OG0005755,17_12680
OG0005756,17_22260
OG0005761,18048_20510
OG0005762,18048_20520
OG0005764,18048_32250
OG0005768,2949_03170
OG0005774,3004_31780
OG0005778,3058_35160
OG0005826,BRIP62418_22150
OG0005831,CFBP1156_41780
OG0005833,CFBP2528_09690
OG0005845,01_12780
OG0005849,01_38850
OG0005850,1311A_06320
OG0005854,18048_02430
OG0005855,18048_02440
OG0005856,2768_23410
OG0005857,2955_11220
OG0005858,2955_35930
OG0005859,2957_21590
OG0005875,3376_22690
OG0005914,BRIP62418_21280
OG0005919,BRIP62418_21970
OG0005920,BRIP62418_22200
OG0005922,CFBP1156_03370
OG0005926,CFBP1156_26930
OG0005927,CFBP1156_41790
OG0005930,CFBP3122_20600
OG0005936,CFBP5825R_42010
OG0005941,CFBP7634_34820
OG0005942,CFBP8304_29530
OG0005943,CFBP8700_31690
OG0005944,FIJ080_23680
OG0005945,FIJ080_31250
OG0005960,18048_02350
OG0005962,18048_31880
OG0005975,3046_17360
OG0005995,74_21480
OG0006001,85-10_46030
OG0006005,85-10_47450
OG0006015,A1809_42490
OG0006021,A7_12900
OG0006024,AR81009_34770
OG0006027,ATCC23378_16290
OG0006028,AmX2_02720
OG0006048,BRIP62412_25110
OG0006076,CFBP4643_31080
OG0006078,CFBP4691_38660
OG0006079,CFBP6369_10180
OG0006080,CFBP6369_33210
OG0006084,CFBP7700_17730
OG0006088,DE0062_01130
OG0006093,LMG12459_20760
OG0006106,17_38640
OG0006111,3058_00020
OG0006112,3058_02180
OG0006113,3058_04340
OG0006114,3058_13490
OG0006115,3058_25640
OG0006116,3058_35040
OG0006132,3376_32790
OG0006133,3376_32810
OG0006162,AR81009_24410
OG0006164,ATCC23378_10840
OG0006166,AmX2_14020
OG0006168,AmX2_22800
OG0006169,AmX2_29190
OG0006181,BP5178_16850
OG0006183,BP5178_26820
OG0006184,BP5178_28210
OG0006193,BRIP62409_03510
OG0006200,BRIP62412_25100
OG0006205,BRIP62418_21480
OG0006207,BRIP62418_21530
OG0006209,BRIP62418_21840
OG0006217,BRIP62418_22070
OG0006233,BRIP62418_28870
OG0006241,CFBP1156_22190
OG0006242,CFBP1156_22200
OG0006244,CFBP1156_23300
OG0006246,CFBP1156_29190
OG0006247,CFBP1156_31310
OG0006248,CFBP1817_31080
OG0006249,CFBP1976_39890
OG0006250,CFBP1976_40770
OG0006251,CFBP2533_14340
OG0006252,CFBP3836_21570
OG0006255,CFBP4642_05480
OG0006261,CFBP4925_03210
OG0006262,CFBP4925_20700
OG0006271,CFBP8700_04860
OG0006273,CFBP8700_28700
OG0006279,FIJ080_23670
OG0006280,FOR_F23_24430
OG0006281,LMG12459_13860
OG0006286,01_23300
OG0006289,1311A_03780
OG0006312,3058_00030
OG0006314,3058_01570
OG0006353,85-10_47400
OG0006354,8590_06060
OG0006356,8590_28390
OG0006361,A2111_06120
OG0006367,ATCC23378_00790
OG0006368,ATCC23378_03090
OG0006369,ATCC23378_05690
OG0006380,BP5178_04700
OG0006381,BP5178_17190
OG0006385,BP5178_31870
OG0006388,BRE_17_17990
OG0006391,BRIP62411_07900
OG0006401,CFBP1156_25180
OG0006402,CFBP1156_42210
OG0006405,CFBP1817_35290
OG0006423,CFBP7604_15220
OG0006424,CFBP7634_35010
OG0006460,18048_36920
OG0006461,2768_21220
OG0006462,2949_24490
OG0006464,2974_30510
OG0006477,3307_11270
OG0006492,85-10_23460
OG0006496,85-10_46550
OG0006497,85-10_46560
OG0006505,A7_12590
OG0006506,A7_21380
OG0006508,A7_39790
OG0006521,BB151-3_06340
OG0006529,BRE_17_37960
OG0006531,BRIP62415_36160
OG0006536,BRIP62432_19990
OG0006542,CCUG18839_10660
OG0006545,CCUG18839_44850
OG0006586,CFBP7681_39820
OG0006588,CFBP7700_12870
OG0006604,DC06T4A_34750
OG0006618,PD885_03310
OG0006619,X11-5A_02350
OG0006620,01_02520
OG0006641,2955_16340
OG0006643,2957_16040
OG0006644,2957_28190
OG0006645,2974_39290
OG0006646,3004_29790
OG0006647,3046_15020
OG0006653,3307_06520
OG0006661,3498_12060
OG0006662,3498_14820
OG0006696,A7_39810
OG0006717,BA29-1_02260
OG0006729,BRIP62409_00690
OG0006749,CFBP1817_21230
OG0006750,CFBP1817_23390
OG0006751,CFBP1817_26950
OG0006753,CFBP1976_36240
OG0006764,CFBP426_01310
OG0006765,CFBP4642_17940
OG0006775,CFBP4690_00330
OG0006776,CFBP4691_06700
OG0006777,CFBP4691_23240
OG0006780,CFBP4691_23320
OG0006789,CFBP6369_47010
OG0006816,CFBP8700_09550
OG0006823,DE0062_01900
OG0006867,2949_03380
OG0006875,2955_30340
OG0006879,2957_16150
OG0006880,2957_16160
OG0006881,2974_30470
OG0006889,3058_41720
OG0006894,3376_20420
OG0006895,3376_20440
OG0006896,3376_22770
OG0006897,3498_11660
OG0006900,3498_12160
OG0006901,3498_24390
OG0006905,71_07800
OG0006921,8590_26520
OG0006922,A1809_00220
OG0006926,A2111_32180
OG0006928,A2111_40280
OG0006929,A7_01040
OG0006966,BRE_17_17940
OG0006970,BRE_17_30720
OG0006980,BRIP62432_20080
OG0006985,Bv5-3A_11880
OG0006986,Bv5-3A_13440
