"","x"
"1","Xanthomonas_OG0002949"
"2","Xanthomonas_OG0003238"
"3","Xanthomonas_OG0003307"
"4","Xanthomonas_OG0003323"
"5","Xanthomonas_OG0003339"
"6","Xanthomonas_OG0003356"
"7","Xanthomonas_OG0003357"
"8","Xanthomonas_OG0003387"
"9","Xanthomonas_OG0003395"
"10","Xanthomonas_OG0003396"
"11","Xanthomonas_OG0003458"
"12","Xanthomonas_OG0003475"
"13","Xanthomonas_OG0003483"
"14","Xanthomonas_OG0003484"
"15","Xanthomonas_OG0003485"
"16","Xanthomonas_OG0003494"
"17","Xanthomonas_OG0003497"
"18","Xanthomonas_OG0003503"
"19","Xanthomonas_OG0003511"
"20","Xanthomonas_OG0003512"
"21","Xanthomonas_OG0003513"
"22","Xanthomonas_OG0003514"
"23","Xanthomonas_OG0003518"
"24","Xanthomonas_OG0003519"
"25","Xanthomonas_OG0003522"
"26","Xanthomonas_OG0003523"
"27","Xanthomonas_OG0003524"
"28","Xanthomonas_OG0003525"
"29","Xanthomonas_OG0003526"
"30","Xanthomonas_OG0003527"
"31","Xanthomonas_OG0003528"
"32","Xanthomonas_OG0003529"
"33","Xanthomonas_OG0003543"
"34","Xanthomonas_OG0003549"
"35","Xanthomonas_OG0003554"
"36","Xanthomonas_OG0003583"
"37","Xanthomonas_OG0003587"
"38","Xanthomonas_OG0003599"
"39","Xanthomonas_OG0003648"
"40","Xanthomonas_OG0003655"
"41","Xanthomonas_OG0003661"
"42","Xanthomonas_OG0003685"
"43","Xanthomonas_OG0003704"
"44","Xanthomonas_OG0003752"
"45","Xanthomonas_OG0003769"
"46","Xanthomonas_OG0003894"
"47","Xanthomonas_OG0003904"
"48","Xanthomonas_OG0003909"
"49","Xanthomonas_OG0003915"
"50","Xanthomonas_OG0003916"
"51","Xanthomonas_OG0003918"
"52","Xanthomonas_OG0003922"
"53","Xanthomonas_OG0003932"
"54","Xanthomonas_OG0003950"
"55","Xanthomonas_OG0003957"
"56","Xanthomonas_OG0003974"
"57","Xanthomonas_OG0003975"
"58","Xanthomonas_OG0003991"
"59","Xanthomonas_OG0004002"
"60","Xanthomonas_OG0004009"
"61","Xanthomonas_OG0004023"
"62","Xanthomonas_OG0004033"
"63","Xanthomonas_OG0004146"
"64","Xanthomonas_OG0004161"
"65","Xanthomonas_OG0004167"
"66","Xanthomonas_OG0004172"
"67","Xanthomonas_OG0004173"
"68","Xanthomonas_OG0004193"
"69","Xanthomonas_OG0004233"
"70","Xanthomonas_OG0004265"
"71","Xanthomonas_OG0004286"
"72","Xanthomonas_OG0004378"
"73","Xanthomonas_OG0004403"
"74","Xanthomonas_OG0004611"
"75","Xanthomonas_OG0004612"
"76","Xanthomonas_OG0004614"
"77","Xanthomonas_OG0004645"
"78","Xanthomonas_OG0004870"
"79","Xanthomonas_OG0004937"
"80","Xanthomonas_OG0005047"
"81","Xanthomonas_OG0005271"
"82","Xanthomonas_OG0005283"
"83","Xanthomonas_OG0005307"
"84","Xanthomonas_OG0005410"
"85","Xanthomonas_OG0005472"
"86","Xanthomonas_OG0005582"
"87","Xanthomonas_OG0005619"
"88","Xanthomonas_OG0005629"
"89","Xanthomonas_OG0005630"
"90","Xanthomonas_OG0005696"
"91","Xanthomonas_OG0005715"
"92","Xanthomonas_OG0005769"
"93","Xanthomonas_OG0005770"
"94","Xanthomonas_OG0005966"
"95","Xanthomonas_OG0006025"
"96","Xanthomonas_OG0006134"
"97","Xanthomonas_OG0006138"
"98","Xanthomonas_OG0006201"
"99","Xanthomonas_OG0006212"
"100","Xanthomonas_OG0006328"
"101","Xanthomonas_OG0006383"
"102","Xanthomonas_OG0006413"
"103","Xanthomonas_OG0006459"
"104","Xanthomonas_OG0006573"
"105","Xanthomonas_OG0006580"
"106","Xanthomonas_OG0006581"
"107","Xanthomonas_OG0006784"
"108","Xanthomonas_OG0006934"
"109","Xanthomonas_OG0007085"
"110","Xanthomonas_OG0007154"
"111","Xanthomonas_OG0007169"
"112","Xanthomonas_OG0007335"
"113","Xanthomonas_OG0007380"
"114","Xanthomonas_OG0007390"
"115","Xanthomonas_OG0007609"
"116","Xanthomonas_OG0007614"
"117","Xanthomonas_OG0007713"
"118","Xanthomonas_OG0007919"
"119","Xanthomonas_OG0007920"
"120","Xanthomonas_OG0007928"
"121","Xanthomonas_OG0008132"
"122","Xanthomonas_OG0008204"
"123","Xanthomonas_OG0008358"
"124","Xanthomonas_OG0008428"
"125","Xanthomonas_OG0008512"
"126","Xanthomonas_OG0008603"
"127","Xanthomonas_OG0008709"
"128","Xanthomonas_OG0008914"
"129","Xanthomonas_OG0009189"
"130","Xanthomonas_OG0009821"
"131","Xanthomonas_OG0009830"
"132","Xanthomonas_OG0010038"
"133","Xanthomonas_OG0010276"
"134","Xanthomonas_OG0010280"
"135","Xanthomonas_OG0010281"
"136","Xanthomonas_OG0010282"
"137","Xanthomonas_OG0010354"
"138","Xanthomonas_OG0010622"
"139","Xanthomonas_OG0010637"
"140","Xanthomonas_OG0010638"
"141","Xanthomonas_OG0011099"
